contract_version,repository_code_commit,repository_worktree_dirty,temporal_master_sha256,preperformance_manifest_payload_sha256,timesat_core_version,timesat_core_source_git_commit,timesat_cli_version,timesat_cli_source_git_commit,timesat_defaults_snapshot_payload_sha256,outer_test_year,smoothing,inner_training_year,nrmse,candidate_year_status,candidate_year_failure_reason,reconstruction_status,reconstruction_failure_reason,outer_test_reference_used,tuning_metric,seasonal_metric_used_for_tuning,spline_candidate_grid
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2020,0.20615369656776461,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2021,0.10814756664044968,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2022,0.25228651552337389,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2023,0.22149087766429312,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2024,0.27013242327146364,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,2025,0.28706792528958897,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1,2020,0.16460246600977085,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1,2021,0.091485907490013299,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1,2022,0.2640727338764548,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1,2023,0.21339945198362215,ok,,ok,,False,withheld_day_nrmse,False,0;1;3;10;30;100;300;1000
