year,method,reconstruction_status,reconstruction_failure_reason,repository_code_commit,repository_worktree_dirty,temporal_master_sha256,preperformance_manifest_payload_sha256,timesat_core_version,timesat_core_source_git_commit,timesat_cli_version,timesat_cli_source_git_commit,timesat_defaults_snapshot_payload_sha256,contract_version,outer_test_year,inner_selection_years,spline_candidate_grid,selected_smoothing,first_sparse_input_date,last_sparse_input_date,mask_scenario_id,diagnostic_n_sparse_inputs,diagnostic_minimum_reconstructed_value,diagnostic_n_negative_reconstructed_days,diagnostic_fraction_negative_reconstructed_days,diagnostic_negative_values_clipped,diagnostic_boundary_extrapolation,diagnostic_sparse_input_checksum,diagnostic_identical_sparse_input_enforced,n_pointwise_evaluation_dates,n_predictions_available,n_predictions_missing_or_nonfinite,q05_reference,q95_reference,q95_minus_q05,scale_available,scale_unavailable_reason,pointwise_metric_status,pointwise_metric_reason,bias,mae,rmse,nrmse,nrmse_status,nrmse_reason,n_common_support_dates,n_common_support_predictions,n_missing_common_support_predictions,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,negative_values_clipped,reference_peak_status,reference_peak_reason,reference_peak_time,reference_peak_value,reference_peak_plateau_start,reference_peak_plateau_end,reference_peak_plateau_days,reference_peak_at_boundary,reference_peak_distance_to_nearest_boundary_days,reconstruction_peak_status,reconstruction_peak_reason,reconstruction_peak_time,reconstruction_peak_value,reconstruction_peak_plateau_start,reconstruction_peak_plateau_end,reconstruction_peak_plateau_days,reconstruction_peak_at_boundary,reconstruction_peak_distance_to_nearest_boundary_days,seasonal_metric_status,seasonal_metric_reason,peak_timing_metric_status,peak_timing_metric_reason,signed_peak_date_error_days,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,signed_peak_magnitude_error,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,reference_integral,reconstruction_integral,signed_integral_error,absolute_integral_error,relative_integral_error,relative_integral_status,relative_integral_reason,pearson_correlation,correlation_status,correlation_reason,diagnostic_n_finite_output_dates,diagnostic_n_output_dates,diagnostic_n_missing_required_support_dates
2019,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.95194400000000001,0,0,False,False,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.9156537070707069,3.2234391125793964,7.5084680958257044,0.26288729503827002,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1490.970515,-379.29943400000002,379.29943400000002,-0.20280464550200611,ok,,0.81495958543044633,ok,,,,
2019,timesat_double_logistic,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.95194524526596069,0,0,False,,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.6492422072484758,4.2311019493418023,7.7744444400484243,0.27219968749762552,ok,,233,233,0,0.95222115516662598,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T12:00:00,21.558717727661133,2019-08-21,2019-08-22,2,False,105.5,ok,,ok,,-4.5,4.5,True,True,True,-39.336182272338867,39.336182272338867,1.3772426575877084,1870.269949,1325.8382762670517,-544.4316727329483,544.4316727329483,-0.29109790970231125,ok,,0.80039558192864058,ok,,365,365,0
2019,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.88920456171035767,0,0,False,,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8355913658847229,3.2463872895323633,7.4793352445698353,0.26186729250703922,ok,,233,233,0,0.88920456171035767,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.175228118896484,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.719671881103515,32.719671881103515,1.1455846819333302,1870.269949,1506.8157243132591,-363.45422468674087,363.45422468674087,-0.19433249455837825,ok,,0.80413417212455873,ok,,365,365,0
2020,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,0.712565,0,0,False,False,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145129999999998,21.051458999999998,True,,ok,,-0.44756421862348178,1.5241441110177272,3.0314414740322202,0.1440014905395498,ok,,303,303,0,0.712565,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-08-09T00:00:00,38.953600000000002,2020-08-09,2020-08-09,1,False,105,ok,,ok,,-31,31,False,False,False,-3.7783000000000015,3.7783000000000015,0.17947924654533456,1917.1637729999998,1806.4106422500001,-110.75313074999963,110.75313074999963,-0.057769259105439834,ok,,0.93002296267654316,ok,,,,
2020,timesat_double_logistic,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,0.71699607372283936,0,0,False,,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145129999999998,21.051458999999998,True,,ok,,-0.027386182221184829,3.0294291078473137,5.3571924568595879,0.2544808156460599,ok,,303,303,0,0.74403810501098633,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-04-11T00:00:00,15.797514915466309,2020-04-11,2020-04-11,1,False,83,ok,,ok,,-151,151,False,False,False,-26.934385084533695,26.934385084533695,1.2794545539353686,1917.1637729999998,1910.9432879686356,-6.2204850313642055,6.2204850313642055,-0.0032446289247529017,ok,,0.66486755162307998,ok,,365,365,0
2020,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,1.1019952297210693,0,0,False,,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145129999999998,21.051458999999998,True,,ok,,-0.55225301873621757,2.0997396860734883,4.000494412727134,0.19003406902709852,ok,,303,303,0,1.1019952297210693,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-04-11T00:00:00,22.065509796142578,2020-04-11,2020-04-11,1,False,83,ok,,ok,,-151,151,False,False,False,-20.666390203857425,20.666390203857425,0.98170821337644232,1917.1637729999998,1784.9258459806442,-132.23792701935554,132.23792701935554,-0.068975811499102202,ok,,0.84071496839268411,ok,,365,365,0
2021,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2021,2019;2020;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2021-03-19,2021-12-04,actual_sentinel2_primary_sparse_input,46,0.69021399999999999,0,0,False,False,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,True,215,215,0,1.2662899999999999,23.422599999999999,22.156309999999998,True,,ok,,0.40124781395348841,1.0943388259749554,2.0445830875213504,0.092279945871914168,ok,,261,261,0,0.69021399999999999,0,0,False,ok,,2021-04-08,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,2021-04-08T00:00:00,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,ok,,0,0,True,True,True,0,0,0,1469.9477440000001,1556.2160240000001,86.268280000000004,86.268280000000004,0.058687991020176022,ok,,0.96737469747612148,ok,,,,
2021,timesat_double_logistic,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2021,2019;2020;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2021-03-19,2021-12-04,actual_sentinel2_primary_sparse_input,46,0.94833332300186157,0,0,False,,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,True,215,215,0,1.2662899999999999,23.422599999999999,22.156309999999998,True,,ok,,0.65002201974434071,2.7649537672713524,4.6601235158438969,0.21032940574689096,ok,,261,261,0,0.94833332300186157,0,0,False,ok,,2021-04-08,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,2021-03-25T00:00:00,16.082614898681641,2021-03-25,2021-03-25,1,False,6,ok,,ok,,-14,14,False,False,True,-21.785585101318361,21.785585101318361,0.98326775087179963,1469.9477440000001,1601.280720949173,131.33297694917292,131.33297694917292,0.089345337264705449,ok,,0.7074911646466352,ok,,365,365,0
2021,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2021,2019;2020;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2021-03-19,2021-12-04,actual_sentinel2_primary_sparse_input,46,0,0,0,False,,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,True,215,215,0,1.2662899999999999,23.422599999999999,22.156309999999998,True,,ok,,0.62893892504490234,1.7586305845546497,3.034276331608103,0.13694863141055993,ok,,261,261,0,0.22092252969741821,0,0,False,ok,,2021-04-08,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,2021-04-05T00:00:00,29.197120666503906,2021-04-05,2021-04-05,1,False,17,ok,,ok,,-3,3,True,True,True,-8.6710793334960954,8.6710793334960954,0.39135936144132738,1469.9477440000001,1605.7739792317152,135.82623523171515,135.82623523171515,0.092402084214304653,ok,,0.90868446935674241,ok,,365,365,0
2022,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2022,2019;2020;2021;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2022-04-18,2022-12-09,actual_sentinel2_primary_sparse_input,36,1.37253,0,0,False,False,22bde5d6d9dc59521e44141a8ff2e30ff8931df0264677dec4dd2ecdf8ecaca3,True,200,200,0,1.513585,18.3184,16.804815000000001,True,,ok,,-0.79971462500000001,1.5119059852833443,4.6350671027018713,0.2758177999996948,ok,,236,236,0,1.37253,0,0,False,ok,,2022-08-07,57.523899999999998,2022-08-07,2022-08-07,1,False,111,ok,,2022-08-01T00:00:00,18.181899999999999,2022-08-01,2022-08-01,1,False,105,ok,,ok,,-6,6,False,True,True,-39.341999999999999,39.341999999999999,2.3411147340806786,1403.2845200000002,1243.3415949999999,-159.94292500000029,159.94292500000029,-0.11397754533770547,ok,,0.83677017904988671,ok,,,,
