category,metric,value,status,note
dataset,row_count,54,pass,
dataset,date_min,2018-06-25,pass,
dataset,date_max,2020-10-29,pass,
dataset,duplicate_date_count,0,pass,
dataset,rows_2018,6,pass,
dataset,rows_2019,22,pass,
dataset,rows_2020,26,pass,
unit,chla_fluorometry_ug_L,micrograms per litre,confirmed_from_header_and_paper,
unit,ALA_composition,percent,confirmed_from_header_and_README,
unit,echo_depth_m,metres of lake water at sampling position,confirmed_from_XLSX,
unit,integrated_sample_depth_m,metres below surface as 0-2 or 0-6,confirmed_from_paper,
unit,coordinates,N/E geographic degrees converted to decimal degrees,conversion_verified_datum_label_requires_confirmation,
missingness,date,0,reported,
missingness,year,0,reported,
missingness,chla_fluorometry_ug_L,0,reported,
missingness,cyanobacteria_pct_ALA,1,reported,
missingness,diatom_dinoflagellate_pct_ALA,1,reported,
missingness,green_algae_pct_ALA,1,reported,
missingness,cryptomonads_pct_ALA,1,reported,
missingness,gps_lat_measured,31,reported,
missingness,gps_lon_measured,31,reported,
missingness,gps_raw_N,31,reported,
missingness,gps_raw_E,31,reported,
missingness,distance_measured_to_nominal_m,31,reported,
missingness,matchup_lat,2,reported,
missingness,matchup_lon,2,reported,
missingness,coordinate_source_for_matchup,0,reported,
missingness,coordinate_qc,0,reported,
missingness,nominal_station_lat,0,reported,
missingness,nominal_station_lon,0,reported,
missingness,echo_depth_m,9,reported,
missingness,integrated_sample_depth_m,0,reported,
missingness,wind,6,reported,
missingness,field_notes,6,reported,
missingness,dicyano_chla_fluorometry_ug_L,6,reported,
missingness,chla_Dryad_vs_DiCyano,0,reported,
missingness,canonical_chla_source,0,reported,
missingness,metadata_source,6,reported,
range,chla_fluorometry_ug_L_min,0.896,reported,
range,chla_fluorometry_ug_L_max,125.69999999999999,reported,
sampling_depth,year_specific_integrated_depth_mismatch_count,0,pass,
provenance,Dryad_DiCyano_exact_matches,48,pass,
provenance,Dryad_dates_not_in_2019_2020_DiCyano_file,6,reported_2018_only,
XLSX_crosscheck,CSV_2019_2020_rows_with_metadata_discrepancy,0,pass,
XLSX_crosscheck,metadata_dates_not_in_field_chla_CSV,2019-05-02,reported,2019-05-02 has field metadata but is not a canonical Chl-a observation
coordinates,format_decimal_degrees,4,reported,
coordinates,format_degrees_decimal_minutes,2,reported,
coordinates,format_degrees_minutes_seconds,17,reported,
coordinates,parsed_coordinate_mismatch_count,0,pass,
coordinates,distance_recalculation_mismatch_count,0,pass,
coordinates,unresolved_coordinate_dates,2020-06-10;2020-06-24,retain_QC_no_correction,
coordinates,paper_nominal_station_rows,31,reported,
coordinates,measured_GPS_rows,21,reported,
coordinates,flagged_measured_GPS_rows,2,reported,
coordinates,matchup_coordinate_rule_violation_count,0,pass,
