date,gps_raw_N,gps_raw_E,format,parsed_latitude,parsed_longitude,csv_gps_lat_measured,csv_gps_lon_measured,conversion_matches_csv,recomputed_distance_to_nominal_m,csv_distance_to_nominal_m,distance_matches_csv,coordinate_source_for_matchup,coordinate_qc,matchup_lat,matchup_lon,hypothetical_longitude_if_minute_36,hypothetical_distance_if_minute_36_m,audit_status
2019-05-08,55 40.505,13 36.560,degrees_decimal_minutes,55.675083333333,13.609333333333,55.67508333333333,13.609333333333334,yes,270.154899,270.1548990004326,yes,measured_GPS,ok,55.67508333333333,13.609333333333334,,,ok
2019-05-15,55 40.427,13 36.190,degrees_decimal_minutes,55.673783333333,13.603166666667,55.67378333333333,13.603166666666667,yes,547.332107,547.3321065444084,yes,measured_GPS,ok,55.67378333333333,13.603166666666667,,,ok
2020-05-13,55 40 28,13 36 34,degrees_minutes_seconds,55.674444444444,13.609444444444,55.67444444444444,13.609444444444444,yes,341.536099,341.53609931340975,yes,measured_GPS,ok,55.67444444444444,13.609444444444444,,,ok
2020-05-27,55 40 33,13 36 24,degrees_minutes_seconds,55.675833333333,13.606666666667,55.67583333333333,13.606666666666666,yes,231.900117,231.90011711176234,yes,measured_GPS,ok,55.67583333333333,13.606666666666666,,,ok
2020-06-03,55 40 34,13 36 21,degrees_minutes_seconds,55.676111111111,13.605833333333,55.67611111111111,13.605833333333333,yes,246.129903,246.12990331533666,yes,measured_GPS,ok,55.67611111111111,13.605833333333333,,,ok
2020-06-10,55 40 41,13 35 32,degrees_minutes_seconds,55.678055555556,13.592222222222,55.67805555555555,13.592222222222222,yes,1046.841614,1046.8416141533169,yes,measured_GPS_flagged_unresolved,CHECK: longitude minute is 35 in metadata; confirm whether 35 or 36,,,13.608888888889,61.774999,flagged_unresolved_do_not_correct
2020-06-17,55 40 37,13 36 11,degrees_minutes_seconds,55.676944444444,13.603055555556,55.676944444444445,13.603055555555555,yes,370.985946,370.98594598337485,yes,measured_GPS,ok,55.676944444444445,13.603055555555555,,,ok
2020-06-24,55 40 42,13 35 35,degrees_minutes_seconds,55.678333333333,13.593055555556,55.67833333333333,13.593055555555557,yes,997.081489,997.0814889814586,yes,measured_GPS_flagged_unresolved,CHECK: longitude minute is 35 in metadata; confirm whether 35 or 36,,,13.609722222222,106.342949,flagged_unresolved_do_not_correct
2020-07-02,55.678341,13.612293,decimal_degrees,55.678341000000,13.612293000000,55.678341,13.612293,yes,232.950847,232.95084702794972,yes,measured_GPS,ok,55.678341,13.612293,,,ok
2020-07-08,55.677205,13.613413,decimal_degrees,55.677205000000,13.613413000000,55.677205,13.613413,yes,285.471850,285.47185019406464,yes,measured_GPS,ok,55.677205,13.613413,,,ok
2020-07-16,55 40 37,13 36 34,degrees_minutes_seconds,55.676944444444,13.609444444444,55.676944444444445,13.609444444444444,yes,70.884211,70.88421121064488,yes,measured_GPS,ok,55.676944444444445,13.609444444444444,,,ok
2020-07-28,55 40 38,13 36 30,degrees_minutes_seconds,55.677222222222,13.608333333333,55.67722222222222,13.608333333333333,yes,46.606435,46.60643463059046,yes,measured_GPS,ok,55.67722222222222,13.608333333333333,,,ok
2020-08-11,55 40 35,13 36 32,degrees_minutes_seconds,55.676388888889,13.608888888889,55.67638888888889,13.608888888888888,yes,123.549938,123.54993813487017,yes,measured_GPS,ok,55.67638888888889,13.608888888888888,,,ok
2020-08-25,55 40 34,13 36 35,degrees_minutes_seconds,55.676111111111,13.609722222222,55.67611111111111,13.609722222222222,yes,163.013986,163.0139864007966,yes,measured_GPS,ok,55.67611111111111,13.609722222222222,,,ok
2020-09-02,55 40 39,13 36 36,degrees_minutes_seconds,55.677500000000,13.610000000000,55.677499999999995,13.61,yes,69.594009,69.59400895966503,yes,measured_GPS,ok,55.677499999999995,13.61,,,ok
2020-09-11,55.678928,13.608819,decimal_degrees,55.678928000000,13.608819000000,55.678928,13.608819,yes,158.848739,158.84873880243785,yes,measured_GPS,ok,55.678928,13.608819,,,ok
2020-09-16,55.676401,13.610208,decimal_degrees,55.676401000000,13.610208000000,55.676401,13.610208,yes,147.520748,147.52074814201967,yes,measured_GPS,ok,55.676401,13.610208,,,ok
2020-09-23,55 40 40,13 36 35,degrees_minutes_seconds,55.677777777778,13.609722222222,55.67777777777778,13.609722222222222,yes,60.634728,60.63472787131162,yes,measured_GPS,ok,55.67777777777778,13.609722222222222,,,ok
2020-09-30,55 40 39,13 36 32,degrees_minutes_seconds,55.677500000000,13.608888888889,55.677499999999995,13.608888888888888,yes,0.069664,0.06966367271709954,yes,measured_GPS,ok,55.677499999999995,13.608888888888888,,,ok
2020-10-08,55 40 40,13 36 32,degrees_minutes_seconds,55.677777777778,13.608888888889,55.67777777777778,13.608888888888888,yes,30.887558,30.887558182320753,yes,measured_GPS,ok,55.67777777777778,13.608888888888888,,,ok
2020-10-16,55 40 38.91,13 36 36.36,degrees_minutes_seconds,55.677475000000,13.610100000000,55.677475,13.6101,yes,75.914678,75.91467804987266,yes,measured_GPS,ok,55.677475,13.6101,,,ok
2020-10-21,55 40 43.00,13 36 43.71,degrees_minutes_seconds,55.678611111111,13.612141666667,55.67861111111111,13.612141666666666,yes,238.383472,238.38347166238475,yes,measured_GPS,ok,55.67861111111111,13.612141666666666,,,ok
2020-10-29,55 40 40.32,13 36 37.54,degrees_minutes_seconds,55.677866666667,13.610427777778,55.67786666666667,13.610427777777778,yes,104.680400,104.6803998638978,yes,measured_GPS,ok,55.67786666666667,13.610427777777778,,,ok
