event_id,year,event_time,event_date,common_support_segment_id,reference_magnitude,plateau_start_time,plateau_end_time,plateau_size_days,scipy_peak_index_within_segment,scipy_prominence,yearly_q05,yearly_q95,yearly_scale_q95_minus_q05,prominence_threshold,reference_distance_days,reference_prominence_fraction,find_peaks_plateau_size_min,find_peaks_plateau_size_max,preprocessing_applied
ERK_2019_E01,2019,2019-08-26,2019-08-26,2019_segment_1,60.8949,2019-08-26,2019-08-26,1,131,60.025222999999997,1.0535319999999999,29.615079999999978,28.561547999999977,8.5684643999999928,30,0.29999999999999999,1,,none
ERK_2019_E02,2019,2019-10-12,2019-10-12,2019_segment_1,11.507400000000001,2019-10-12,2019-10-12,1,178,9.9208100000000012,1.0535319999999999,29.615079999999978,28.561547999999977,8.5684643999999928,30,0.29999999999999999,1,,none
ERK_2020_E01,2020,2020-04-18,2020-04-18,2020_segment_2,22.152100000000001,2020-04-18,2020-04-18,1,7,9.8829000000000011,1.0936710000000001,22.145129999999998,21.051458999999998,6.3154376999999995,30,0.29999999999999999,1,,none
ERK_2020_E02,2020,2020-08-09,2020-08-09,2020_segment_2,38.953600000000002,2020-08-09,2020-08-09,1,120,33.480499999999999,1.0936710000000001,22.145129999999998,21.051458999999998,6.3154376999999995,30,0.29999999999999999,1,,none
ERK_2020_E03,2020,2020-09-09,2020-09-09,2020_segment_2,42.731900000000003,2020-09-09,2020-09-09,1,151,41.811626000000004,1.0936710000000001,22.145129999999998,21.051458999999998,6.3154376999999995,30,0.29999999999999999,1,,none
ERK_2021_E01,2021,2021-04-08,2021-04-08,2021_segment_1,37.868200000000002,2021-04-08,2021-04-08,1,20,34.433970000000002,1.2662899999999999,23.422599999999999,22.156309999999998,6.6468929999999995,30,0.29999999999999999,1,,none
ERK_2021_E02,2021,2021-08-09,2021-08-09,2021_segment_1,25.183499999999999,2021-08-09,2021-08-09,1,143,23.829339999999998,1.2662899999999999,23.422599999999999,22.156309999999998,6.6468929999999995,30,0.29999999999999999,1,,none
ERK_2022_E01,2022,2022-08-07,2022-08-07,2022_segment_1,57.523899999999998,2022-08-07,2022-08-07,1,111,55.984719999999996,1.513585,18.3184,16.804815000000001,5.0414444999999999,30,0.29999999999999999,1,,none
ERK_2022_E02,2022,2022-09-26,2022-09-26,2022_segment_1,9.1590399999999992,2022-09-26,2022-09-26,1,161,7.3308399999999994,1.513585,18.3184,16.804815000000001,5.0414444999999999,30,0.29999999999999999,1,,none
ERK_2023_E01,2023,2023-04-23,2023-04-23,2023_segment_1,15.9877,2023-04-23,2023-04-23,1,2,5.0328999999999997,0.94453010000000004,11.606679999999999,10.662149899999999,3.1986449699999997,30,0.29999999999999999,1,,none
ERK_2023_E02,2023,2023-07-31,2023-07-31,2023_segment_1,15.726699999999999,2023-07-31,2023-07-31,1,101,14.907699999999998,0.94453010000000004,11.606679999999999,10.662149899999999,3.1986449699999997,30,0.29999999999999999,1,,none
ERK_2023_E03,2023,2023-09-01,2023-09-01,2023_segment_1,10.2285,2023-09-01,2023-09-01,1,133,6.4042600000000007,0.94453010000000004,11.606679999999999,10.662149899999999,3.1986449699999997,30,0.29999999999999999,1,,none
ERK_2024_E01,2024,2024-07-19,2024-07-19,2024_segment_1,14.2628,2024-07-19,2024-07-19,1,93,9.4646299999999997,1.3134375,17.630824999999998,16.317387499999999,4.8952162499999998,30,0.29999999999999999,1,,none
ERK_2024_E02,2024,2024-08-31,2024-08-31,2024_segment_1,35.773899999999998,2024-08-31,2024-08-31,1,136,33.813749999999999,1.3134375,17.630824999999998,16.317387499999999,4.8952162499999998,30,0.29999999999999999,1,,none
ERK_2025_E01,2025,2025-03-30,2025-03-30,2025_segment_1,40.746499999999997,2025-03-30,2025-03-30,1,9,13.366199999999999,1.3806750000000001,31.359949999999998,29.979274999999998,8.9937824999999982,30,0.29999999999999999,1,,none
ERK_2025_E02,2025,2025-07-14,2025-07-14,2025_segment_1,27.281199999999998,2025-07-14,2025-07-14,1,115,22.615049999999997,1.3806750000000001,31.359949999999998,29.979274999999998,8.9937824999999982,30,0.29999999999999999,1,,none
ERK_2025_E03,2025,2025-08-28,2025-08-28,2025_segment_1,37.697400000000002,2025-08-28,2025-08-28,1,160,35.26735,1.3806750000000001,31.359949999999998,29.979274999999998,8.9937824999999982,30,0.29999999999999999,1,,none
ERK_2025_E04,2025,2025-10-14,2025-10-14,2025_segment_1,83.4709,2025-10-14,2025-10-14,1,207,79.351609999999994,1.3806750000000001,31.359949999999998,29.979274999999998,8.9937824999999982,30,0.29999999999999999,1,,none
