analysis_version,support,observation_method,metric,stratum_type,stratum_value,n_pairs_raw_CHLF,n_pairs_positive_CHLF,n_years,first_date,last_date,spearman_rho,spearman_status,spearman_reason,spearman_cluster_bootstrap_CI_low,spearman_cluster_bootstrap_CI_high,spearman_bootstrap_valid_replicates,pearson_r_log10_CHLF,pearson_status,pearson_reason,pearson_cluster_bootstrap_CI_low,pearson_cluster_bootstrap_CI_high,pearson_bootstrap_valid_replicates,p_values_reported
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.28136752136752136,ok,,,,0,0.5010362628734818,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.303030303030303,ok,,,,0,0.2419998552800277,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.4504504504504505,ok,,,,0,0.5533358348281578,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2022,25,25,1,2022-04-18,2022-11-12,0.37461538461538463,ok,,,,0,0.3910806380762013,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,-0.46917293233082696,ok,,,,0,-0.47133641608283905,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.017045454545454548,ok,,,,0,0.21829108919069237,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,NDCI,calendar_year,2025,30,30,1,2025-03-23,2025-11-16,0.030478309232480537,ok,,,,0,0.263555085423049,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.18495726495726494,ok,,,,0,0.506071877191196,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.44729907773386024,ok,,,,0,0.4620211400212053,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.15830115830115832,ok,,,,0,0.44800809690999516,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2022,29,29,1,2022-04-18,2022-11-22,0.2189924884205469,ok,,,,0,0.026933871259644027,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,0.6676691729323309,ok,,,,0,0.5833188999388319,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.3379010695187166,ok,,,,0,0.26877861878791864,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L1C,MCI,calendar_year,2025,31,31,1,2025-03-23,2025-11-16,0.7129032258064517,ok,,,,0,0.6489933305150875,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.2608547008547008,ok,,,,0,0.3313127580564872,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.15969431486002833,ok,,,,0,0.10392903327534721,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.5454311454311455,ok,,,,0,0.3903766412542472,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2022,25,25,1,2022-04-18,2022-11-12,0.3707692307692308,ok,,,,0,0.276327134242341,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,-0.5302745768007378,ok,,,,0,-0.3462098321212743,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.27439839572192515,ok,,,,0,0.12092309329835833,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,NDCI,calendar_year,2025,30,30,1,2025-03-23,2025-11-16,0.02736373748609566,ok,,,,0,-0.1353659791440263,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.5856410256410256,ok,,,,0,0.7002258402494551,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.649384018801691,ok,,,,0,0.5514801858004872,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.38010040217050245,ok,,,,0,0.576195959962541,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2022,29,29,1,2022-04-18,2022-11-22,0.1487684729064039,ok,,,,0,0.3491912047830188,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,0.5789473684210527,ok,,,,0,0.5917996629415829,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.29545454545454547,ok,,,,0,0.4016147020243407,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,L2A,MCI,calendar_year,2025,31,31,1,2025-03-23,2025-11-16,0.5584677419354839,ok,,,,0,0.5473547091010653,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.31008547008547005,ok,,,,0,0.3441681263416083,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.15889328063241104,ok,,,,0,0.09037138173850442,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.49163449163449163,ok,,,,0,0.5418236363910394,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2022,25,25,1,2022-04-18,2022-11-12,0.5307692307692308,ok,,,,0,0.5893747810888993,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,-0.431578947368421,ok,,,,0,-0.4092856090898502,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.26771390374331555,ok,,,,0,0.3649108916362128,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,NDCI,calendar_year,2025,30,30,1,2025-03-23,2025-11-16,0.2418242491657397,ok,,,,0,0.3245150078755426,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2019,26,26,1,2019-04-17,2019-11-05,0.38051282051282054,ok,,,,0,0.5624608828726388,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2020,45,45,1,2020-01-24,2020-11-04,0.4982872200263504,ok,,,,0,0.468616196103404,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2021,36,36,1,2021-03-19,2021-11-12,0.12483912483912483,ok,,,,0,0.42651662605350055,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2022,29,29,1,2022-04-18,2022-11-22,0.3354679802955664,ok,,,,0,0.1712029930949932,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2023,20,20,1,2023-04-21,2023-10-18,0.6616541353383457,ok,,,,0,0.587430981027158,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2024,33,33,1,2024-05-07,2024-11-13,0.3713235294117647,ok,,,,0,0.2652671267438604,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,primary_common,ACOLITE,MCI,calendar_year,2025,31,31,1,2025-03-23,2025-11-16,0.7850806451612905,ok,,,,0,0.6737516499767715,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2019,32,32,1,2019-04-17,2019-12-05,0.38782991202346034,ok,,,,0,0.4937632185411788,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2020,53,53,1,2020-01-19,2020-11-22,0.1927108530882116,ok,,,,0,0.1585709743065983,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2021,45,45,1,2021-03-19,2021-12-04,0.40974967061923584,ok,,,,0,0.4560698744985297,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2022,34,34,1,2022-04-18,2022-12-09,0.042933537051184106,ok,,,,0,0.052750513920998915,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2023,25,25,1,2023-04-21,2023-11-29,-0.25461538461538463,ok,,,,0,-0.23621026796266,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2024,36,36,1,2024-04-17,2024-11-26,0.04504504504504505,ok,,,,0,0.2120541428547909,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,NDCI,calendar_year,2025,44,44,1,2025-03-21,2025-11-26,-0.028329809725158563,ok,,,,0,0.11564600823134136,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2019,32,32,1,2019-04-17,2019-12-05,0.043621700879765385,ok,,,,0,0.3148798837645175,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2020,53,53,1,2020-01-19,2020-11-22,0.39872601193355905,ok,,,,0,0.3946142363160139,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2021,45,45,1,2021-03-19,2021-12-04,-0.017523056653491437,ok,,,,0,-0.07546516664138486,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2022,34,34,1,2022-04-18,2022-12-09,0.15341126181223258,ok,,,,0,-0.0646416361303506,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2023,25,25,1,2023-04-21,2023-11-29,0.4338461538461538,ok,,,,0,0.37278189734460776,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2024,36,36,1,2024-04-17,2024-11-26,0.3464607464607465,ok,,,,0,0.2714570903425924,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L1C,MCI,calendar_year,2025,44,44,1,2025-03-21,2025-11-26,0.557152924594785,ok,,,,0,0.31838988979849014,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L2A,NDCI,calendar_year,2019,33,33,1,2019-04-17,2019-12-05,0.34893048128342247,ok,,,,0,0.367112455668958,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L2A,NDCI,calendar_year,2020,53,53,1,2020-01-19,2020-11-22,0.15136181356255288,ok,,,,0,0.0976875188932322,ok,,,,0,False
erken_s2_chlf_matchup_analysis_v1.0,secondary_method_specific,L2A,NDCI,calendar_year,2021,45,45,1,2021-03-19,2021-12-04,0.5482213438735177,ok,,,,0,0.38013220646707324,ok,,,,0,False
