analysis_version,observation_method,metric,evaluation_scope,scope_value,n_predictions,RMSE_log10_CHLF,MAE_log10_CHLF,R2_log10_CHLF,status,reason
erken_s2_chlf_matchup_analysis_v1.0,L2A,NDCI,test_year,2021,36,0.38068003495058206,0.3120011896571284,-0.09862191211286975,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,NDCI,test_year,2022,25,0.3230531902619976,0.2712984426974464,0.0012038712286209785,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,NDCI,test_year,2023,20,0.3092682425231204,0.26282818349881204,-0.06071208216535795,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,NDCI,test_year,2024,33,0.39230872122309757,0.352504758342829,-0.07752951571766609,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,NDCI,test_year,2025,30,0.5654452103317436,0.40294357500857575,-1.1734637623861346,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,pooled_all_heldout,all,220,0.3459691838352494,0.27702996509081595,0.2370065600223249,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2019,26,0.31745081236532346,0.251518350760536,0.45685038007341305,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2020,45,0.39715165244289813,0.33305539786713106,0.21878200775068335,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2021,36,0.3244079349524573,0.2564644953772658,0.20216884261130919,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2022,29,0.28805055067453206,0.2387833206529934,0.11926851500778712,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2023,20,0.2583274351405565,0.20908837939008648,0.25993830346534663,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2024,33,0.3575693321226475,0.3033520760266898,0.10485420440806104,ok,
erken_s2_chlf_matchup_analysis_v1.0,L2A,MCI,test_year,2025,31,0.3961944520666362,0.29257413119302633,-0.08733713348970573,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,pooled_all_heldout,all,215,0.3885083820316954,0.3213095135887943,0.050471639700674586,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2019,26,0.4085954392359318,0.3318976072986486,0.10018418119203143,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2020,45,0.46078218991520375,0.39475588177669124,-0.05160067969425297,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2021,36,0.32489663327706586,0.2598556975632324,0.19976327612682454,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2022,25,0.29255532465044237,0.243464862766806,0.18088515697063534,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2023,20,0.3561796372123239,0.2978171852956472,-0.4069058563819621,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2024,33,0.3783714612858638,0.3326959310479979,-0.002328303548263966,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,NDCI,test_year,2025,30,0.42250042493567835,0.3437152279977143,-0.21346050157996443,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,pooled_all_heldout,all,220,0.347230445771689,0.2805661276161352,0.2314332964630047,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2019,26,0.35947241548312797,0.2742563616589084,0.3035375051066286,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2020,45,0.402720457473947,0.33523404611364266,0.19672015120421127,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2021,36,0.33565925510846134,0.27861504690223726,0.14586737907664404,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2022,29,0.3113894497730981,0.24716774805378416,-0.02923344603820266,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2023,20,0.24825480922709345,0.18958517911170192,0.3165256763296074,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2024,33,0.37201965872194565,0.3245289599781339,0.031041828549470907,ok,
erken_s2_chlf_matchup_analysis_v1.0,ACOLITE,MCI,test_year,2025,31,0.3212604674835504,0.2519091920564987,0.2850724810930899,ok,
