analysis_version,date,year,measurement_regime,observation_method,metric,index_value,CHLF,log10_CHLF,method_specific_support,primary_common_support,source_product_id,valid_pixel_count
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,L1C,NDCI,-0.05553615089067421,2.29786,0.3613235652227519,True,True,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,L1C,MCI,-0.0017483333333333378,2.29786,0.3613235652227519,True,True,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,L2A,NDCI,-0.03157894736842105,2.29786,0.3613235652227519,True,True,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,L2A,MCI,-0.00012000000000000031,2.29786,0.3613235652227519,True,True,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,ACOLITE,NDCI,0.00674072674288833,2.29786,0.3613235652227519,True,True,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-27,2019,pre_2023,ACOLITE,MCI,-0.0015136095384756729,2.29786,0.3613235652227519,True,True,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,L1C,NDCI,-0.060297572435395456,2.89997,0.46239350517418093,True,True,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,L1C,MCI,-0.0014649999999999976,2.89997,0.46239350517418093,True,True,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,L2A,NDCI,-0.06586826347305391,2.89997,0.46239350517418093,True,True,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,L2A,MCI,-0.000633333333333333,2.89997,0.46239350517418093,True,True,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,ACOLITE,NDCI,-0.025569417065714424,2.89997,0.46239350517418093,True,True,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,9
erken_s2_chlf_matchup_analysis_v1.0,2019-04-29,2019,pre_2023,ACOLITE,MCI,-0.0013100313022732738,2.89997,0.46239350517418093,True,True,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,L1C,NDCI,-0.04770396790013369,2.24125,0.3504903025702393,True,True,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,L1C,MCI,-0.0014966666666666635,2.24125,0.3504903025702393,True,True,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,L2A,NDCI,0.02890173410404627,2.24125,0.3504903025702393,True,True,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,L2A,MCI,-0.000346666666666667,2.24125,0.3504903025702393,True,True,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,ACOLITE,NDCI,0.06485694760810752,2.24125,0.3504903025702393,True,True,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-17,2019,pre_2023,ACOLITE,MCI,-0.0014279803882042558,2.24125,0.3504903025702393,True,True,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,L1C,NDCI,-0.05380710659898476,1.14049,0.057091481665399686,True,True,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,L1C,MCI,-0.001036666666666665,1.14049,0.057091481665399686,True,True,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,L2A,NDCI,0.13924050632911392,1.14049,0.057091481665399686,True,True,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,L2A,MCI,-8.666666666666718e-05,1.14049,0.057091481665399686,True,True,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,ACOLITE,NDCI,0.06618794476453924,1.14049,0.057091481665399686,True,True,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,9
erken_s2_chlf_matchup_analysis_v1.0,2019-05-29,2019,pre_2023,ACOLITE,MCI,-0.0007721858409543833,1.14049,0.057091481665399686,True,True,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,9
