product_id,platform,acquisition_datetime,acquisition_date,tile_id,processing_baseline,scl_raster_relative_path,scl_crs,raster_transform_a,raster_transform_b,raster_transform_c,raster_transform_d,raster_transform_e,raster_transform_f,raster_bounds_left,raster_bounds_bottom,raster_bounds_right,raster_bounds_top,pixel_size_x,pixel_size_y,raster_width,raster_height,station_lat,station_lon,station_crs,station_x,station_y,central_row,central_col,central_scl,station_inside_raster,window_size,requested_pixel_count,actual_pixel_count,window_complete,scl_0_count,scl_1_count,scl_2_count,scl_3_count,scl_4_count,scl_5_count,scl_6_count,scl_7_count,scl_8_count,scl_9_count,scl_10_count,scl_11_count,scl_0_fraction,scl_1_fraction,scl_2_fraction,scl_3_fraction,scl_4_fraction,scl_5_fraction,scl_6_fraction,scl_7_fraction,scl_8_fraction,scl_9_fraction,scl_10_fraction,scl_11_fraction,unexpected_scl_count,unexpected_scl_values,water_fraction,bad_scl_fraction,processing_status,processing_note
S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356,S2A,2017-01-14T10:13:51Z,2017-01-14,T34VCM,N0500,S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356.SAFE/GRANULE/L2A_T34VCM_A008170_20170114T101346/IMG_DATA/R20m/T34VCM_20170114T101351_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,9,True,1,1,1,True,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,0.0,1.0,ok,
S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356,S2A,2017-01-14T10:13:51Z,2017-01-14,T34VCM,N0500,S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356.SAFE/GRANULE/L2A_T34VCM_A008170_20170114T101346/IMG_DATA/R20m/T34VCM_20170114T101351_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,9,True,3,9,9,True,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,0.0,1.0,ok,
S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356,S2A,2017-01-14T10:13:51Z,2017-01-14,T34VCM,N0500,S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356.SAFE/GRANULE/L2A_T34VCM_A008170_20170114T101346/IMG_DATA/R20m/T34VCM_20170114T101351_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,9,True,5,25,25,True,0,0,0,0,0,0,0,0,0,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,0.0,1.0,ok,
S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356,S2A,2017-01-14T10:13:51Z,2017-01-14,T34VCM,N0500,S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356.SAFE/GRANULE/L2A_T34VCM_A008170_20170114T101346/IMG_DATA/R20m/T34VCM_20170114T101351_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,9,True,7,49,49,True,0,0,0,0,0,0,0,0,1,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.9795918367346939,0.0,0.0,0,,0.0,1.0,ok,
S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356,S2A,2017-01-14T10:13:51Z,2017-01-14,T34VCM,N0500,S2A_MSIL2A_20170114T101351_N0500_R022_T34VCM_20230919T042356.SAFE/GRANULE/L2A_T34VCM_A008170_20170114T101346/IMG_DATA/R20m/T34VCM_20170114T101351_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,9,True,11,121,121,True,0,0,0,0,0,0,0,0,13,108,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743801652892562,0.8925619834710744,0.0,0.0,0,,0.0,1.0,ok,
S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731,S2A,2017-01-24T10:13:11Z,2017-01-24,T34VCM,N0500,S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731.SAFE/GRANULE/L2A_T34VCM_A008313_20170124T101309/IMG_DATA/R20m/T34VCM_20170124T101311_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,6,True,1,1,1,True,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,ok,
S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731,S2A,2017-01-24T10:13:11Z,2017-01-24,T34VCM,N0500,S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731.SAFE/GRANULE/L2A_T34VCM_A008313_20170124T101309/IMG_DATA/R20m/T34VCM_20170124T101311_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,6,True,3,9,9,True,0,0,0,0,0,0,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,ok,
S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731,S2A,2017-01-24T10:13:11Z,2017-01-24,T34VCM,N0500,S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731.SAFE/GRANULE/L2A_T34VCM_A008313_20170124T101309/IMG_DATA/R20m/T34VCM_20170124T101311_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,6,True,5,25,25,True,0,0,0,0,0,0,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,ok,
S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731,S2A,2017-01-24T10:13:11Z,2017-01-24,T34VCM,N0500,S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731.SAFE/GRANULE/L2A_T34VCM_A008313_20170124T101309/IMG_DATA/R20m/T34VCM_20170124T101311_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,6,True,7,49,49,True,0,0,0,0,0,0,49,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,ok,
S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731,S2A,2017-01-24T10:13:11Z,2017-01-24,T34VCM,N0500,S2A_MSIL2A_20170124T101311_N0500_R022_T34VCM_20230917T164731.SAFE/GRANULE/L2A_T34VCM_A008313_20170124T101309/IMG_DATA/R20m/T34VCM_20170124T101311_SCL_20m.jp2,EPSG:32634,20.0,0.0,300000.0,0.0,-20.0,6700020.0,300000.0,6590220.0,409800.0,6700020.0,20.0,20.0,5490,5490,59.84029,18.625827,EPSG:4326,366955.22316181613,6636008.72814571,3200,3347,6,True,11,121,121,True,0,0,0,0,0,0,121,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,ok,
