date,year,n_products_on_date,n_products_passing,s2_date_usable,all_product_ids,product_pass_status,date_rescued_by_alternate_product,selected_product_id,selected_platform,selected_acquisition_datetime,selected_processing_baseline,selected_central_scl,selected_water_pixel_count_3x3,selected_bad_pixel_count_3x3,selected_persistent_nonwater_pixel_count_3x3,selected_class2_pixel_count_3x3,selected_water_fraction_3x3,selected_bad_scl_fraction_3x3,selected_persistent_nonwater_fraction_3x3,qc_rule_id,mask_version,reason_if_unusable
2019-04-17,2019,1,1,True,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125=pass,False,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,S2A,2019-04-17T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-04-19,2019,1,0,False,S2B_MSIL2A_20190419T101029_N0500_R022_T34VCM_20221031T042331,S2B_MSIL2A_20190419T101029_N0500_R022_T34VCM_20221031T042331=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-04-22,2019,1,1,True,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833=pass,False,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,S2B,2019-04-22T10:20:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-04-24,2019,1,1,True,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127=pass,False,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,S2A,2019-04-24T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-04-27,2019,1,1,True,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345=pass,False,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,S2A,2019-04-27T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-04-29,2019,1,1,True,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544=pass,False,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,S2B,2019-04-29T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-05-02,2019,1,0,False,S2B_MSIL2A_20190502T102029_N0500_R065_T34VCM_20221214T000724,S2B_MSIL2A_20190502T102029_N0500_R065_T34VCM_20221214T000724=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-04,2019,1,0,False,S2A_MSIL2A_20190504T101031_N0500_R022_T34VCM_20221209T170420,S2A_MSIL2A_20190504T101031_N0500_R022_T34VCM_20221209T170420=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-07,2019,1,0,False,S2A_MSIL2A_20190507T102031_N0500_R065_T34VCM_20221210T014059,S2A_MSIL2A_20190507T102031_N0500_R065_T34VCM_20221210T014059=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-09,2019,1,0,False,S2B_MSIL2A_20190509T101039_N0500_R022_T34VCM_20221221T121028,S2B_MSIL2A_20190509T101039_N0500_R022_T34VCM_20221221T121028=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
