event_id,year,method,mask_id,scenario_family,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code
ERK_2019_E01,2019,linear_interpolation,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.558696746826172,-39.336203253173828,39.336203253173828,1.3772433921709657,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.175228118896484,-32.719671881103515,32.719671881103515,1.1455846819333302,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,consecutive_2019_10d_20190418,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-18T00:00:00,6,6,False,True,True,6.4851260185241699,-5.0222739814758306,5.0222739814758306,0.17584039847825597,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.558696746826172,-39.336203253173828,39.336203253173828,1.3772433921709657,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.175228118896484,-32.719671881103515,32.719671881103515,1.1455846819333302,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,consecutive_2019_10d_20190419,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-18T00:00:00,6,6,False,True,True,6.4851260185241699,-5.0222739814758306,5.0222739814758306,0.17584039847825597,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.558685302734375,-39.336214697265625,39.336214697265625,1.3772437928527423,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.175228118896484,-32.719671881103515,32.719671881103515,1.1455846819333302,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,consecutive_2019_10d_20190420,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-18T00:00:00,6,6,False,True,True,6.4851269721984863,-5.0222730278015142,5.0222730278015142,0.17584036508810791,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,consecutive_2019_10d_20190421,consecutive_internal_gap,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,consecutive_2019_10d_20190421,consecutive_internal_gap,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
