analysis_classification,outer_test_year,method,date,year,CHLF,s2_openwater_reference_candidate,common_support_segment_id,prediction,selected_p_seapar,reconstruction_status,reconstruction_failure_reason
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-17,2019,4.8965100000000001,True,2019_segment_1,3.582953929901123,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-18,2019,6.3200000000000003,False,2019_segment_1,3.5355081558227539,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-19,2019,4.9500000000000002,False,2019_segment_1,3.4879329204559326,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-20,2019,4.0700000000000003,False,2019_segment_1,3.4402682781219482,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-21,2019,4.0899999999999999,False,2019_segment_1,3.392554759979248,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-22,2019,3.9399999999999999,True,2019_segment_1,3.3448317050933838,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-23,2019,4.4000000000000004,False,2019_segment_1,3.2971389293670654,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-24,2019,1.9497,True,2019_segment_1,3.2495157718658447,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-25,2019,2.1053500000000001,False,2019_segment_1,3.2020008563995361,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-26,2019,2.5600100000000001,False,2019_segment_1,3.1546323299407959,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-27,2019,2.29786,True,2019_segment_1,3.1074483394622803,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-28,2019,2.7156500000000001,False,2019_segment_1,3.0604856014251709,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-29,2019,2.8999700000000002,True,2019_segment_1,3.0137808322906494,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-04-30,2019,1.86066,False,2019_segment_1,2.9673700332641602,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-05-01,2019,1.9510099999999999,False,2019_segment_1,2.9212877750396729,0,ok,
secondary_sensitivity_double_logistic_seasonal_parameter,2019,timesat_double_logistic_cv_seapar,2019-05-02,2019,1.7898499999999999,False,2019_segment_1,2.8755686283111572,0,ok,
