date,year,CHLF,prediction,prediction_available,residual,absolute_error,squared_error,residual_status,method,selected_p_seapar
2019-04-18,2019,6.3200000000000003,3.5355081558227539,True,-2.7844918441772464,2.7844918441772464,7.7533948302896025,ok,timesat_double_logistic_cv_seapar,0
2019-04-19,2019,4.9500000000000002,3.4879329204559326,True,-1.4620670795440676,1.4620670795440676,2.1376401450865186,ok,timesat_double_logistic_cv_seapar,0
2019-04-20,2019,4.0700000000000003,3.4402682781219482,True,-0.62973172187805204,0.62973172187805204,0.39656204153949631,ok,timesat_double_logistic_cv_seapar,0
2019-04-21,2019,4.0899999999999999,3.392554759979248,True,-0.69744524002075181,0.69744524002075181,0.48642986282760409,ok,timesat_double_logistic_cv_seapar,0
2019-04-23,2019,4.4000000000000004,3.2971389293670654,True,-1.1028610706329349,1.1028610706329349,1.2163025411176234,ok,timesat_double_logistic_cv_seapar,0
2019-04-25,2019,2.1053500000000001,3.2020008563995361,True,1.0966508563995361,1.0966508563995361,1.2026431008418359,ok,timesat_double_logistic_cv_seapar,0
2019-04-26,2019,2.5600100000000001,3.1546323299407959,True,0.59462232994079578,0.59462232994079578,0.3535757152642206,ok,timesat_double_logistic_cv_seapar,0
2019-04-28,2019,2.7156500000000001,3.0604856014251709,True,0.34483560142517078,0.34483560142517078,0.11891159201025925,ok,timesat_double_logistic_cv_seapar,0
2019-04-30,2019,1.86066,2.9673700332641602,True,1.1067100332641602,1.1067100332641602,1.2248070977275585,ok,timesat_double_logistic_cv_seapar,0
2019-05-01,2019,1.9510099999999999,2.9212877750396729,True,0.97027777503967294,0.97027777503967294,0.94143896073593814,ok,timesat_double_logistic_cv_seapar,0
2019-05-02,2019,1.7898499999999999,2.8755686283111572,True,1.0857186283111573,1.0857186283111573,1.1787849398618608,ok,timesat_double_logistic_cv_seapar,0
2019-05-03,2019,1.63357,2.8302457332611084,True,1.1966757332611084,1.1966757332611084,1.4320328105760116,ok,timesat_double_logistic_cv_seapar,0
