date,year,l2a_representative_status,scl_gate_pass,l2a_product_id,l2a_platform,l2a_sensing_datetime,l2a_tile,l2a_relative_orbit,l2a_processing_baseline,l2a_generation_time,l1c_pairing_status,l1c_product_id,l1c_platform,l1c_sensing_datetime,l1c_tile,l1c_relative_orbit,l1c_processing_baseline,l1c_generation_time,l1c_candidate_count,l1c_candidate_product_ids,pairing_detail
2019-05-12,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-05-14,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-05-17,2019,frozen_representative,True,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,S2A,2019-05-17T10:20:31Z,T34VCM,65,N0500,2022-12-04T16:57:18Z,exact_unique,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,S2A,2019-05-17T10:20:31Z,T34VCM,65,N0500,2022-12-04T06:40:53Z,1,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,
2019-05-19,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-05-24,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-05-27,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-05-29,2019,frozen_representative,True,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,S2B,2019-05-29T10:10:39Z,T34VCM,22,N0500,2022-12-13T04:59:58Z,exact_unique,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,S2B,2019-05-29T10:10:39Z,T34VCM,22,N0500,2022-12-12T16:19:28Z,1,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,
2019-06-01,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-03,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-06,2019,frozen_representative,True,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,S2A,2019-06-06T10:20:31Z,T34VCM,65,N0500,2023-06-05T11:07:41Z,ambiguous_multiple_candidates,,,,,,,,2,S2A_MSIL1C_20190606T102031_N0500_R065_T34VCM_20230605T032041;S2A_MSIL1C_20190606T102031_N0500_R065_T34VCM_20230711T224625,"2 L1C products share the acquisition identity (platform, sensing datetime, tile, orbit); Phase 6A does not select one silently."
2019-06-08,2019,frozen_representative,True,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,S2B,2019-06-08T10:10:29Z,T34VCM,22,N0500,2023-06-26T16:03:25Z,exact_unique,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,S2B,2019-06-08T10:10:29Z,T34VCM,22,N0500,2023-06-26T03:33:48Z,1,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,
2019-06-11,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-13,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
