event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code,reconstructed_prominence_diagnostic,original_method,selected_p_seapar,analysis_role,method_display_order
ERK_2020_E03,2020,linear_interpolation,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P011,2020-09-13T00:00:00,4,4,True,True,True,30.6279,-12.104000000000005,12.104000000000005,0.57497202450433504,ok,,ok,,,linear_interpolation,,frozen_primary_reused,0
ERK_2020_E01,2020,timesat_smoothing_spline,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2020_E02,2020,timesat_smoothing_spline,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P002,2020-08-08T00:00:00,-1,1,True,True,True,18.865280151367188,-20.088319848632818,20.088319848632818,0.95424834205709042,ok,,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2020_E03,2020,timesat_smoothing_spline,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P003,2020-09-12T00:00:00,3,3,True,True,True,19.954183578491211,-22.777716421508792,22.777716421508792,1.0820017948166345,ok,,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2020_E01,2020,timesat_double_logistic_default_seapar1,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
ERK_2020_E02,2020,timesat_double_logistic_default_seapar1,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
ERK_2020_E03,2020,timesat_double_logistic_default_seapar1,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.458242416381836,-29.273657583618167,29.273657583618167,1.3905761868390296,ok,,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
ERK_2020_E01,2020,timesat_double_logistic_cv_seapar,2020_segment_2,2020-04-18,22.152100000000001,21.051458999999998,matched,,15,False,REC_2020_P001,2020-04-12T00:00:00,-6,6,False,True,True,18.485252380371097,-3.6668476196289035,3.6668476196289035,0.17418496359938301,ok,,ok,,,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_new,3
ERK_2020_E02,2020,timesat_double_logistic_cv_seapar,2020_segment_2,2020-08-09,38.953600000000002,21.051458999999998,matched,,15,False,REC_2020_P002,2020-08-10T00:00:00,1,1,True,True,True,13.552470207214355,-25.401129792785646,25.401129792785646,1.2066208709232766,ok,,ok,,,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_new,3
ERK_2020_E03,2020,timesat_double_logistic_cv_seapar,2020_segment_2,2020-09-09,42.731900000000003,21.051458999999998,matched,,15,False,REC_2020_P003,2020-09-10T00:00:00,1,1,True,True,True,16.269735336303711,-26.462164663696292,26.462164663696292,1.2570228345549017,ok,,ok,,,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_new,3
ERK_2021_E01,2021,linear_interpolation,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-08T00:00:00,0,0,True,True,True,37.868200000000002,0,0,0,ok,,ok,,,linear_interpolation,,frozen_primary_reused,0
