year,method,n_reference_events,n_available_reference_events,n_matched_events,n_missed_events,n_unavailable_events,n_method_failures,recovery_fraction_5d,recovery_fraction_10d,recovery_fraction_15d,mean_absolute_timing_error_matched_days,median_absolute_timing_error_matched_days,mean_absolute_magnitude_error_matched,median_absolute_magnitude_error_matched,mean_normalized_absolute_magnitude_error_matched,median_normalized_absolute_magnitude_error_matched
2019,linear_interpolation,2,2,2,0,0,0,0.5,1,1,4,4,18.269680000000001,18.269680000000001,0.63966000722369865,0.63966000722369865
2019,timesat_double_logistic_cv_seapar,2,2,1,1,0,0,0.5,0.5,0.5,5,5,34.394268667602539,34.394268667602539,1.2042158452897078,1.2042158452897078
2019,timesat_double_logistic_default_seapar1,2,2,1,1,0,0,0.5,0.5,0.5,4.5,4.5,39.336182272338867,39.336182272338867,1.3772426575877084,1.3772426575877084
2019,timesat_smoothing_spline,2,2,2,0,0,0,0,1,1,7.5,7.5,18.870973408126829,18.870973408126829,0.66071255690086705,0.66071255690086705
2020,linear_interpolation,3,3,3,0,0,0,1,1,1,1.3333333333333333,0,4.0346666666666682,0,0.19165734150144501,0
2020,timesat_double_logistic_cv_seapar,3,3,3,0,0,0,0.66666666666666663,1,1,2.6666666666666665,1,18.510047358703613,25.401129792785646,0.87927622302585373,1.2066208709232766
2020,timesat_double_logistic_default_seapar1,3,3,1,2,0,0,0,0,0.33333333333333331,11,11,29.273657583618167,29.273657583618167,1.3905761868390296,1.3905761868390296
2020,timesat_smoothing_spline,3,3,2,1,0,0,0.66666666666666663,0.66666666666666663,0.66666666666666663,2,2,21.433018135070803,21.433018135070803,1.0181250684368623,1.0181250684368623
2021,linear_interpolation,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0
2021,timesat_double_logistic_cv_seapar,2,2,2,0,0,0,1,1,1,3.5,3.5,12.300600709533692,12.300600709533692,0.55517370489642426,0.55517370489642426
2021,timesat_double_logistic_default_seapar1,2,2,2,0,0,0,0,0.5,1,10.5,10.5,15.494209947204592,15.494209947204592,0.699313646866495,0.699313646866495
2021,timesat_smoothing_spline,2,2,2,0,0,0,1,1,1,2,2,7.6445700546264668,7.6445700546264668,0.34502902580016553,0.34502902580016553
2022,linear_interpolation,2,2,2,0,0,0,0,1,1,6.5,6.5,21.902549999999998,21.902549999999998,1.3033496649620957,1.3033496649620957
2022,timesat_double_logistic_cv_seapar,2,2,1,1,0,0,0.5,0.5,0.5,3,3,42.810674635314939,42.810674635314939,2.5475243039161652,2.5475243039161652
2022,timesat_double_logistic_default_seapar1,2,2,1,1,0,0,0.5,0.5,0.5,1,1,43.923346487426755,43.923346487426755,2.6137357946175994,2.6137357946175994
2022,timesat_smoothing_spline,2,2,1,1,0,0,0,0.5,0.5,6,6,40.617062536621091,40.617062536621091,2.4169895673722732,2.4169895673722732
2023,linear_interpolation,3,3,3,0,0,0,0.66666666666666663,0.66666666666666663,1,5,4,2.7099533333333334,3.1180600000000007,0.25416575069286296,0.29244195863350231
2023,timesat_double_logistic_cv_seapar,3,3,1,2,0,0,0,0.33333333333333331,0.33333333333333331,6,6,6.8770858566284172,6.8770858566284172,0.64499992226037051,0.64499992226037051
2023,timesat_double_logistic_default_seapar1,3,3,1,2,0,0,0,0.33333333333333331,0.33333333333333331,6,6,6.8521434585571281,6.8521434585571281,0.6426605818548029,0.6426605818548029
2023,timesat_smoothing_spline,3,3,2,1,0,0,0.33333333333333331,0.66666666666666663,0.66666666666666663,5.5,5.5,3.2494982215881345,3.2494982215881345,0.30476951197132707,0.30476951197132707
2024,linear_interpolation,2,2,2,0,0,0,1,1,1,3,3,5.9079999999999986,5.9079999999999986,0.36206776360492754,0.36206776360492754
2024,timesat_double_logistic_cv_seapar,2,2,1,1,0,0,0.5,0.5,0.5,0,0,18.491805044555662,18.491805044555662,1.1332577009987452,1.1332577009987452
2024,timesat_double_logistic_default_seapar1,2,2,1,1,0,0,0.5,0.5,0.5,1,1,18.966473547363279,18.966473547363279,1.1623474375026812,1.1623474375026812
2024,timesat_smoothing_spline,2,2,2,0,0,0,1,1,1,2,2,7.2402185150146474,7.2402185150146474,0.44371186962463488,0.44371186962463488
2025,linear_interpolation,4,4,4,0,0,0,1,1,1,2.25,2,22.823419999999999,11.016239999999998,0.76130660264466044,0.36746185489809202
2025,timesat_double_logistic_cv_seapar,4,4,1,3,0,0,0,0,0.25,14,14,9.5669507049560565,9.5669507049560565,0.3191188147463892,0.3191188147463892
2025,timesat_double_logistic_default_seapar1,4,4,1,3,0,0,0,0,0.25,13,13,9.9336365722656268,9.9336365722656268,0.33135012678811032,0.33135012678811032
2025,timesat_smoothing_spline,4,4,4,0,0,0,1,1,1,3,3,24.015539740562438,12.19070528678894,0.80107139817632145,0.40663776181341738
