event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason
ERK_2020_E02,2020,timesat_smoothing_spline_0,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P012,2020-08-07,-2,2,True,True,True,53.378364562988281,14.42476456298828,14.42476456298828,0.68521448147552522,ok,
ERK_2020_E03,2020,timesat_smoothing_spline_0,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P015,2020-09-13,4,4,True,True,True,30.627899169921875,-12.104000830078128,12.104000830078128,0.57497206393524214,ok,
ERK_2020_E01,2020,timesat_smoothing_spline_selected,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event
ERK_2020_E02,2020,timesat_smoothing_spline_selected,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P002,2020-08-08,-1,1,True,True,True,18.865280151367188,-20.088319848632814,20.088319848632814,0.9542483420570903,ok,
ERK_2020_E03,2020,timesat_smoothing_spline_selected,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P003,2020-09-12,3,3,True,True,True,19.954183578491211,-22.777716421508792,22.777716421508792,1.0820017948166343,ok,
ERK_2021_E01,2021,linear_interpolation,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-08,0,0,True,True,True,37.868200000000002,0,0,0,ok,
ERK_2021_E02,2021,linear_interpolation,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P008,2021-08-09,0,0,True,True,True,25.183499999999999,0,0,0,ok,
ERK_2021_E01,2021,timesat_smoothing_spline_0,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-07,-1,1,True,True,True,38.471809387207031,0.60360938720702961,0.60360938720702961,0.027243227198347993,ok,
ERK_2021_E02,2021,timesat_smoothing_spline_0,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P010,2021-08-08,-1,1,True,True,True,25.713495254516602,0.5299952545166029,0.5299952545166029,0.023920736553902831,ok,
ERK_2021_E01,2021,timesat_smoothing_spline_selected,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-05,-3,3,True,True,True,29.197120666503906,-8.6710793334960954,8.6710793334960954,0.39135936144132732,ok,
