year,method,reconstruction_status,mae,rmse,nrmse,pearson_correlation,n_pointwise_evaluation_dates,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,n_reference_events,n_matched_events,n_missed_events,event_recovery_5d,event_recovery_10d,event_recovery_15d
2019,linear_interpolation,ok,3.2234391125793964,7.5084680958257044,0.26288729503827002,0.81495958543044633,198,0.95194400000000001,0,0,2,2,0,0.5,1,1
2019,timesat_smoothing_spline_0,ok,3.5158885501861574,8.029241728026328,0.281120677633661,0.77237587257347728,198,0.78015536069869995,0,0,2,2,0,1,1,1
2019,timesat_smoothing_spline_selected,ok,3.2463872895323633,7.4793352445698353,0.26186729250703922,0.80413417212455873,198,0.88920456171035767,0,0,2,2,0,0,1,1
2020,linear_interpolation,ok,1.5241441110177272,3.0314414740322202,0.1440014905395498,0.93002296267654316,247,0.712565,0,0,3,3,0,1,1,1
2020,timesat_smoothing_spline_0,ok,2.2522575768361595,4.3398360909947371,0.20615369656776461,0.87320214559917775,247,0,0,0,3,3,0,1,1,1
2020,timesat_smoothing_spline_selected,ok,2.0997396860734883,4.000494412727134,0.19003406902709852,0.84071496839268411,247,1.1019952297210693,0,0,3,2,1,0.66666666666666663,0.66666666666666663,0.66666666666666663
2021,linear_interpolation,ok,1.0943388259749554,2.0445830875213504,0.092279945871914168,0.96737469747612148,215,0.69021399999999999,0,0,2,2,0,1,1,1
2021,timesat_smoothing_spline_0,ok,1.3556125796185514,2.3961510122314613,0.10814756664044968,0.9544758569773073,215,0.66705185174942017,0,0,2,2,0,1,1,1
2021,timesat_smoothing_spline_selected,ok,1.7586305845546497,3.034276331608103,0.13694863141055993,0.90868446935674241,215,0.22092252969741821,0,0,2,2,0,1,1,1
2022,linear_interpolation,ok,1.5119059852833443,4.6350671027018713,0.2758177999996948,0.83677017904988671,200,1.37253,0,0,2,2,0,0,1,1
2022,timesat_smoothing_spline_0,ok,1.6034581177928926,4.2396282203649269,0.25228651552337389,0.85384249219277186,200,1.2581771612167358,0,0,2,2,0,0.5,1,1
2022,timesat_smoothing_spline_selected,ok,1.6052803355981826,4.7041679610539289,0.27992976781082851,0.82420883673090861,200,1.3133481740951538,0,0,2,1,1,0,0.5,0.5
2023,linear_interpolation,ok,1.1504836782057781,1.8347420987909147,0.1720799384738452,0.88501244765435394,196,0.90460499999999999,0,0,3,3,0,0.66666666666666663,0.66666666666666663,1
2023,timesat_smoothing_spline_0,ok,1.6952965413394263,2.3615689391392549,0.22149087766429312,0.82800176439804996,196,0.34668788313865662,0,0,3,2,1,0.33333333333333331,0.66666666666666663,0.66666666666666663
2023,timesat_smoothing_spline_selected,ok,1.3890923326526368,2.1035961649433146,0.1972956847045749,0.85485623348592388,196,0.80434566736221313,0,0,3,2,1,0.33333333333333331,0.66666666666666663,0.66666666666666663
2024,linear_interpolation,ok,1.9195744852429533,3.4494627554158876,0.21139797994108359,0.84725500956820921,186,1.0061599999999999,0,0,2,2,0,1,1,1
2024,timesat_smoothing_spline_0,ok,2.5840338675718253,4.4078554268344892,0.27013242327146364,0.77380323863074973,186,0,0,0,2,2,0,1,1,1
2024,timesat_smoothing_spline_selected,ok,2.1029770194989865,3.6996815332100947,0.22673246763368798,0.8181046954775465,186,0,0,0,2,2,0,1,1,1
2025,linear_interpolation,ok,3.8853107354517409,7.9678487741828974,0.26577856783337483,0.76585398338162136,203,1.1888799999999999,0,0,4,4,0,1,1,1
2025,timesat_smoothing_spline_0,ok,4.3086289274461125,8.6060882759360418,0.28706792528958897,0.74844827819380544,203,1.1888799667358398,0,0,4,4,0,0.75,1,1
2025,timesat_smoothing_spline_selected,ok,3.9811332024046422,8.0253819526450929,0.26769766622592084,0.76095943091070184,203,1.2417192459106445,0,0,4,4,0,1,1,1
