year,interval_number,interval_start_date,interval_end_date,gap_length_days,left_endpoint_value,right_endpoint_value,common_support_segment_id,same_open_water_segment,selected_spline_smoothing,interval_status,interval_reason,n_interior_points,spline0_exceeds_endpoint_range,n_outside_endpoint_range,fraction_outside_endpoint_range,max_positive_overshoot,max_negative_overshoot,max_negative_overshoot_magnitude,max_absolute_overshoot,normalized_max_absolute_overshoot,n_internal_extrema,n_derivative_sign_changes,spline0_changes_derivative_sign_inside_interval,linear_withheld_rmse,spline0_withheld_rmse,selected_spline_withheld_rmse,spline0_minus_linear_withheld_rmse,n_withheld_evaluation_dates
2019,1,2019-04-17,2019-04-22,5,4.8965100000000001,3.9399999999999999,2019_segment_1,True,10,ok,,4,True,3,0.75,0.25399029754638658,0,0,0.25399029754638658,0.0088927356999833063,1,1,True,0.84605641303047885,0.85434349391670794,0.94272676428912217,0.0082870808862290923,4
2019,2,2019-04-22,2019-04-24,2,3.9399999999999999,1.9497,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,1.4551500000000006,1.53880729675293,1.3894480705261234,0.083657296752929433,1
2019,3,2019-04-24,2019-04-27,3,1.9497,2.29786,2019_segment_1,True,10,ok,,2,True,2,1,0,-0.27258360595703124,0.27258360595703124,0.27258360595703124,0.009543726620035841,1,1,True,0.26889185312645275,0.55958060293978362,0.32314245916466255,0.29068874981333087,2
2019,4,2019-04-27,2019-04-29,2,2.29786,2.8999700000000002,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,0.11673500000000026,0.075836576843261838,0.21963492813110363,-0.040898423156738417,1
2019,5,2019-04-29,2019-05-17,18,2.8999700000000002,2.24125,2019_segment_1,True,10,ok,,17,True,13,0.76470588235294112,0.66380196311950668,0,0,0.66380196311950668,0.023241105948441844,1,1,True,0.80914402623374815,1.4561635495545151,0.86968231411859276,0.64701952332076695,17
2019,6,2019-05-17,2019-05-29,12,2.24125,1.14049,2019_segment_1,True,10,ok,,11,True,2,0.18181818181818182,0,-0.025595848312377933,0.025595848312377933,0.025595848312377933,0.0008961646025760912,1,1,True,0.57259838284969944,0.35479349247524811,0.50371007740800999,-0.21780489037445133,11
2019,7,2019-05-29,2019-06-06,8,1.14049,1.5709599999999999,2019_segment_1,True,10,ok,,7,True,2,0.2857142857142857,0.025252744712829678,0,0,0.025252744712829678,0.00088415182233223834,1,1,True,0.14116665152463795,0.096675366029133292,0.25451154940557963,-0.044491285495504657,7
2019,8,2019-06-06,2019-06-08,2,1.5709599999999999,1.4647399999999999,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,0.70721000000000012,0.71970356899261478,0.67551363903045658,0.012493568992614668,1
2019,9,2019-06-08,2019-06-18,10,1.4647399999999999,3.2976000000000001,2019_segment_1,True,10,ok,,9,False,0,0,0,0,0,0,0,0,0,False,1.0453709715726118,1.0656418500568787,1.1445402618878797,0.020270878484266897,9
2019,10,2019-06-18,2019-06-28,10,3.2976000000000001,1.8970899999999999,2019_segment_1,True,10,ok,,9,False,0,0,0,0,0,0,0,0,0,False,0.2984024822515538,0.39090616451158589,0.31702407870204036,0.092503682260032083,9
2019,11,2019-06-28,2019-07-11,13,1.8970899999999999,5.7940199999999997,2019_segment_1,True,10,ok,,12,False,0,0,0,0,0,0,0,0,0,False,3.8412230649121146,4.0028061510635657,4.0263038369299702,0.16158308615145112,12
2019,12,2019-07-11,2019-07-18,7,5.7940199999999997,6.3632299999999997,2019_segment_1,True,10,ok,,6,False,0,0,0,0,0,0,0,0,0,False,1.6753846623032433,1.6793091592030707,1.6582004307199785,0.0039244968998273233,6
2019,13,2019-07-18,2019-07-23,5,6.3632299999999997,8.6321399999999997,2019_segment_1,True,10,ok,,4,False,0,0,0,0,0,0,0,0,0,False,0.70430327016846928,0.43867846692952817,0.84474766104134469,-0.26562480323894111,4
2019,14,2019-07-23,2019-07-26,3,8.6321399999999997,9.5777999999999999,2019_segment_1,True,10,ok,,2,True,1,0.5,0.25775698394775404,0,0,0.25775698394775404,0.0090246153306450423,1,1,True,2.9146561644557663,3.4134649003391684,2.184692180982021,0.49880873588340213,2
2019,15,2019-07-26,2019-07-28,2,9.5777999999999999,7.0803000000000003,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,2.9218400000000004,3.0066665335083007,2.7303460760498046,0.084826533508300273,1
2019,16,2019-07-28,2019-08-02,5,7.0803000000000003,9.5456800000000008,2019_segment_1,True,10,ok,,4,True,3,0.75,0,-0.7239681747436526,0.7239681747436526,0.7239681747436526,0.025347651840987511,1,1,True,0.53874291654740158,1.2671977029119066,0.93709856361989108,0.728454786364505,4
2019,17,2019-08-02,2019-08-05,3,9.5456800000000008,16.251300000000001,2019_segment_1,True,10,ok,,2,False,0,0,0,0,0,0,0,0,0,False,1.8111684306301041,1.6199771416766096,2.1570977440195107,-0.19119128895349458,2
2019,18,2019-08-05,2019-08-07,2,16.251300000000001,22.127300000000002,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,6.382799999999996,6.2864917083740224,6.9897998138427724,-0.096308291625973652,1
2019,19,2019-08-07,2019-08-22,15,22.127300000000002,25.7562,2019_segment_1,True,10,ok,,14,True,5,0.35714285714285715,0.53431399230957055,-0.20383617858886893,0.20383617858886893,0.53431399230957055,0.018707459144356287,2,2,True,9.7629874105303749,11.090211797607166,9.0060075383657772,1.3272243870767912,14
2019,20,2019-08-22,2019-08-25,3,25.7562,29.236799999999999,2019_segment_1,True,10,ok,,2,True,1,0.5,0.80184479064941527,0,0,0.80184479064941527,0.028074276318966182,1,1,True,11.083526989410906,9.7371880703499443,11.718281846092388,-1.3463389190609618,2
2019,21,2019-08-25,2019-08-27,2,29.236799999999999,20.134,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,36.209499999999998,35.830614721679687,36.597695028686523,-0.37888527832031116,1
2019,22,2019-08-27,2019-09-01,5,20.134,18.253699999999998,2019_segment_1,True,10,ok,,4,True,4,1,0,-1.9505173980712875,1.9505173980712875,1.9505173980712875,0.068291725577034168,1,1,True,34.091551655351502,36.437139592948675,32.753188879092896,2.3455879375971733,4
2019,23,2019-09-01,2019-09-04,3,18.253699999999998,16.172999999999998,2019_segment_1,True,10,ok,,2,False,0,0,0,0,0,0,0,0,0,False,5.4993725594632865,5.7426830375662616,5.5054287158987014,0.24331047810297513,2
2019,24,2019-09-04,2019-09-06,2,16.172999999999998,12.902900000000001,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,29.570150000000002,29.528740945434571,29.679431977844239,-0.041409054565431092,1
2019,25,2019-09-06,2019-09-26,20,12.902900000000001,0.95194400000000001,2019_segment_1,True,10,ok,,19,False,0,0,0,0,0,0,0,0,0,False,10.79507590497446,12.255511321948626,11.747423967776427,1.4604354169741658,19
2019,26,2019-09-26,2019-10-01,5,0.95194400000000001,1.1282300000000001,2019_segment_1,True,10,ok,,4,True,4,1,0,-0.17178863930130006,0.17178863930130006,0.17178863930130006,0.0060146823730037394,1,1,True,0.73969272746512793,0.88354330852188001,0.72117960410208581,0.14385058105675208,4
2019,27,2019-10-01,2019-10-04,3,1.1282300000000001,2.6580499999999998,2019_segment_1,True,10,ok,,2,False,0,0,0,0,0,0,0,0,0,False,0.85682595306748266,0.77368376628060231,0.83425510065213127,-0.083142186786880345,2
2019,28,2019-10-04,2019-10-19,15,2.6580499999999998,6.6261400000000004,2019_segment_1,True,10,ok,,14,True,7,0.5,0.81560432754516565,0,0,0.81560432754516565,0.02855602670923741,1,1,True,3.30618337559065,2.6275229374497147,2.9404618104219002,-0.67866043814093535,14
2019,29,2019-10-19,2019-10-29,10,6.6261400000000004,3.18072,2019_segment_1,True,10,ok,,9,True,4,0.44444444444444442,0,-0.68820372077941894,0.68820372077941894,0.68820372077941894,0.024095462920266767,1,1,True,1.2612176342143866,0.98973848121731789,1.4594328597931989,-0.27147915299706871,9
2019,30,2019-10-29,2019-10-31,2,3.18072,4.4898300000000004,2019_segment_1,True,10,ok,,1,False,0,0,0,0,0,0,0,0,0,False,0.092045000000000154,0.22126232101440424,0.068931445617675724,0.12921732101440409,1
2019,31,2019-10-31,2019-11-03,3,4.4898300000000004,3.1014599999999999,2019_segment_1,True,10,ok,,2,False,0,0,0,0,0,0,0,0,0,False,0.71038354042024388,0.9159316647336152,0.40471596940375182,0.20554812431337133,2
2019,32,2019-11-03,2019-11-05,2,3.1014599999999999,3.0060899999999999,2019_segment_1,True,10,ok,,1,True,1,1,0,-0.07738073143005364,0.07738073143005364,0.07738073143005364,0.0027092625172155829,1,1,True,0.034175000000000288,0.15924073143005391,0.054754725265502735,0.12506573143005362,1
2019,33,2019-11-05,2019-11-30,25,3.0060899999999999,1.7383900000000001,2019_segment_1,True,10,ok,,24,True,10,0.41666666666666669,0.26244680610656745,0,0,0.26244680610656745,0.0091888158900409623,1,1,True,0.1320944589741245,0.52293835433303548,0.1404466390431153,0.39084389535891095,24
2019,34,2019-11-30,2019-12-05,5,1.7383900000000001,1.5865899999999999,2019_segment_1,True,10,ok,,4,False,0,0,0,0,0,0,0,0,0,False,1.5700924586837752e-16,0.015256866513428386,0.0099133310437942729,0.015256866513428228,4
2020,1,2020-01-19,2020-01-24,5,1.17279,1.20834,2020_segment_1,True,100,ok,,4,False,0,0,0,0,0,0,0,0,0,False,0,0.0052320598334045388,0.049721779817653161,0.0052320598334045388,4
2020,2,2020-01-24,2020-02-03,10,1.20834,1.98,2020_segment_1,True,100,ok,,9,False,0,0,0,0,0,0,0,0,0,False,0.29731617830555779,0.3408240557489623,0.31796777503011653,0.043507877443404508,9
2020,3,2020-02-03,2020-02-06,3,1.98,2.5800000000000001,2020_segment_1,True,100,ok,,2,False,0,0,0,0,0,0,0,0,0,False,0.24041630560342611,0.20421923406282758,0.34052625346716803,-0.036197071540598535,2
2020,4,2020-02-06,2020-02-11,5,2.5800000000000001,2.3999999999999999,2020_segment_1,True,100,ok,,4,True,1,0.25,0.038260145187377859,0,0,0.038260145187377859,0.0018174581242743253,1,1,True,0.24300205760445742,0.28431508258287286,0.16414399852939807,0.041313024978415436,4
2020,5,2020-02-11,2020-02-13,2,2.3999999999999999,2.5649099999999998,2020_segment_1,True,100,ok,,1,False,0,0,0,0,0,0,0,0,0,False,0.082454999999999945,0.10355717483520488,0.043345863189697464,0.021102174835204934,1
2020,6,2020-02-13,2020-02-21,8,2.5649099999999998,3.3427500000000001,2020_segment_1,True,100,ok,,7,False,0,0,0,0,0,0,0,0,0,False,0.55051057153466976,0.5462183182870407,0.54617671123929523,-0.004292253247629052,7
2020,7,2020-02-21,2020-02-23,2,3.3427500000000001,3.4131300000000002,2020_segment_1,True,100,ok,,1,True,1,1,0.044942423934936304,0,0,0.044942423934936304,0.0021348840446135495,1,1,True,0.19939000000000018,0.27952242393493654,0.16276430587768553,0.080132423934936359,1
