method,n_years,total_negative_reconstructed_days,equal_year_mean_mae,equal_year_mean_rmse,equal_year_mean_nrmse,equal_year_mean_pearson_correlation,equal_year_mean_event_recovery_5d,equal_year_mean_event_recovery_10d,equal_year_mean_event_recovery_15d,equal_year_mean_fraction_negative_reconstructed_days
linear_interpolation,7,0,2.0441709905365566,4.353087626924407,0.20346328824253321,0.86389269503388311,0.73809523809523803,0.95238095238095244,1,0
timesat_smoothing_spline_0,7,0,2.4735965943987321,4.9114813847896057,0.2323428117986564,0.82916423550933427,0.79761904761904767,0.95238095238095244,0.95238095238095244,0
timesat_smoothing_spline_selected,7,0,2.3118914929021357,4.7209905143939297,0.22292936847424422,0.83023754378272374,0.5714285714285714,0.83333333333333326,0.83333333333333326,0
