date,method,year,CHLF,s2_openwater_reference_candidate,common_support_segment_id,prediction,selected_spline_smoothing
2019-04-17,linear_interpolation,2019,4.8965100000000001,True,2019_segment_1,4.8965100000000001,
2019-04-18,linear_interpolation,2019,6.3200000000000003,False,2019_segment_1,4.7052079999999998,
2019-04-19,linear_interpolation,2019,4.9500000000000002,False,2019_segment_1,4.5139060000000004,
2019-04-20,linear_interpolation,2019,4.0700000000000003,False,2019_segment_1,4.3226040000000001,
2019-04-21,linear_interpolation,2019,4.0899999999999999,False,2019_segment_1,4.1313019999999998,
2019-04-22,linear_interpolation,2019,3.9399999999999999,True,2019_segment_1,3.9399999999999999,
2019-04-23,linear_interpolation,2019,4.4000000000000004,False,2019_segment_1,2.9448499999999997,
2019-04-24,linear_interpolation,2019,1.9497,True,2019_segment_1,1.9497,
2019-04-25,linear_interpolation,2019,2.1053500000000001,False,2019_segment_1,2.0657533333333333,
2019-04-26,linear_interpolation,2019,2.5600100000000001,False,2019_segment_1,2.1818066666666667,
2019-04-27,linear_interpolation,2019,2.29786,True,2019_segment_1,2.29786,
2019-04-28,linear_interpolation,2019,2.7156500000000001,False,2019_segment_1,2.5989149999999999,
2019-04-29,linear_interpolation,2019,2.8999700000000002,True,2019_segment_1,2.8999700000000002,
2019-04-30,linear_interpolation,2019,1.86066,False,2019_segment_1,2.8633744444444447,
2019-05-01,linear_interpolation,2019,1.9510099999999999,False,2019_segment_1,2.8267788888888892,
2019-05-02,linear_interpolation,2019,1.7898499999999999,False,2019_segment_1,2.7901833333333332,
2019-05-03,linear_interpolation,2019,1.63357,False,2019_segment_1,2.7535877777777777,
2019-05-04,linear_interpolation,2019,1.5651999999999999,False,2019_segment_1,2.7169922222222223,
2019-05-05,linear_interpolation,2019,1.5090399999999999,False,2019_segment_1,2.6803966666666668,
2019-05-06,linear_interpolation,2019,1.4016,False,2019_segment_1,2.6438011111111113,
2019-05-07,linear_interpolation,2019,1.9534499999999999,False,2019_segment_1,2.6072055555555558,
2019-05-08,linear_interpolation,2019,1.78077,False,2019_segment_1,2.5706099999999998,
2019-05-09,linear_interpolation,2019,1.83473,False,2019_segment_1,2.5340144444444443,
2019-05-10,linear_interpolation,2019,1.8851,False,2019_segment_1,2.4974188888888889,
2019-05-11,linear_interpolation,2019,1.9822299999999999,False,2019_segment_1,2.4608233333333334,
2019-05-12,linear_interpolation,2019,1.8275399999999999,False,2019_segment_1,2.4242277777777779,
2019-05-13,linear_interpolation,2019,1.88869,False,2019_segment_1,2.3876322222222224,
2019-05-14,linear_interpolation,2019,2.04339,False,2019_segment_1,2.3510366666666664,
2019-05-15,linear_interpolation,2019,2.25204,False,2019_segment_1,2.3144411111111109,
2019-05-16,linear_interpolation,2019,2.39235,False,2019_segment_1,2.2778455555555555,
2019-05-17,linear_interpolation,2019,2.24125,True,2019_segment_1,2.24125,
2019-05-18,linear_interpolation,2019,2.0182099999999998,False,2019_segment_1,2.1495199999999999,
2019-05-19,linear_interpolation,2019,1.8203400000000001,False,2019_segment_1,2.0577899999999998,
2019-05-20,linear_interpolation,2019,1.6404700000000001,False,2019_segment_1,1.9660599999999999,
2019-05-21,linear_interpolation,2019,1.46394,False,2019_segment_1,1.8743300000000001,
2019-05-22,linear_interpolation,2019,1.2332099999999999,False,2019_segment_1,1.7826,
2019-05-23,linear_interpolation,2019,0.78368499999999996,False,2019_segment_1,1.6908700000000001,
2019-05-24,linear_interpolation,2019,0.62456100000000003,False,2019_segment_1,1.59914,
2019-05-25,linear_interpolation,2019,0.77175099999999996,False,2019_segment_1,1.5074100000000001,
2019-05-26,linear_interpolation,2019,0.81550999999999996,False,2019_segment_1,1.41568,
2019-05-27,linear_interpolation,2019,0.80755399999999999,False,2019_segment_1,1.32395,
2019-05-28,linear_interpolation,2019,1.3580099999999999,False,2019_segment_1,1.2322200000000001,
2019-05-29,linear_interpolation,2019,1.14049,True,2019_segment_1,1.14049,
2019-05-30,linear_interpolation,2019,1.24631,False,2019_segment_1,1.19429875,
2019-05-31,linear_interpolation,2019,1.1992799999999999,False,2019_segment_1,1.2481074999999999,
2019-06-01,linear_interpolation,2019,1.3580099999999999,False,2019_segment_1,1.3019162499999999,
2019-06-02,linear_interpolation,2019,1.3697699999999999,False,2019_segment_1,1.3557250000000001,
2019-06-03,linear_interpolation,2019,1.62256,False,2019_segment_1,1.40953375,
2019-06-04,linear_interpolation,2019,1.75545,False,2019_segment_1,1.4633425,
2019-06-05,linear_interpolation,2019,1.4982800000000001,False,2019_segment_1,1.51715125,
2019-06-06,linear_interpolation,2019,1.5709599999999999,True,2019_segment_1,1.5709599999999999,
2019-06-07,linear_interpolation,2019,2.22506,False,2019_segment_1,1.5178499999999999,
2019-06-08,linear_interpolation,2019,1.4647399999999999,True,2019_segment_1,1.4647399999999999,
2019-06-09,linear_interpolation,2019,1.0398499999999999,False,2019_segment_1,1.648026,
2019-06-10,linear_interpolation,2019,1.0566199999999999,False,2019_segment_1,1.8313120000000001,
2019-06-11,linear_interpolation,2019,1.1684399999999999,False,2019_segment_1,2.0145979999999999,
2019-06-12,linear_interpolation,2019,1.6633800000000001,False,2019_segment_1,2.1978840000000002,
2019-06-13,linear_interpolation,2019,1.5412999999999999,False,2019_segment_1,2.38117,
2019-06-14,linear_interpolation,2019,1.3581700000000001,False,2019_segment_1,2.5644559999999998,
2019-06-15,linear_interpolation,2019,1.6633800000000001,False,2019_segment_1,2.7477420000000001,
2019-06-16,linear_interpolation,2019,1.32002,False,2019_segment_1,2.931028,
2019-06-17,linear_interpolation,2019,1.7244200000000001,False,2019_segment_1,3.1143139999999998,
2019-06-18,linear_interpolation,2019,3.2976000000000001,True,2019_segment_1,3.2976000000000001,
2019-06-19,linear_interpolation,2019,3.1624500000000002,False,2019_segment_1,3.1575489999999999,
2019-06-20,linear_interpolation,2019,3.06785,False,2019_segment_1,3.0174980000000002,
2019-06-21,linear_interpolation,2019,2.59483,False,2019_segment_1,2.8774470000000001,
2019-06-22,linear_interpolation,2019,2.5678000000000001,False,2019_segment_1,2.7373959999999999,
2019-06-23,linear_interpolation,2019,3.0813600000000001,False,2019_segment_1,2.5973450000000002,
2019-06-24,linear_interpolation,2019,2.5542899999999999,False,2019_segment_1,2.4572940000000001,
