sparse_input_id,date,year,doy,CHLF,qc_rule_id,mask_version,sparse_input_source_flag
1,2019-04-17,2019,107,4.8965100000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
2,2019-04-22,2019,112,3.9399999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
3,2019-04-24,2019,114,1.9497,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
4,2019-04-27,2019,117,2.29786,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
5,2019-04-29,2019,119,2.8999700000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
6,2019-05-17,2019,137,2.24125,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
7,2019-05-29,2019,149,1.14049,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
8,2019-06-06,2019,157,1.5709599999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
9,2019-06-08,2019,159,1.4647399999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
10,2019-06-18,2019,169,3.2976000000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
11,2019-06-28,2019,179,1.8970899999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
12,2019-07-11,2019,192,5.7940199999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
13,2019-07-18,2019,199,6.3632299999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
14,2019-07-23,2019,204,8.6321399999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
15,2019-07-26,2019,207,9.5777999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
16,2019-07-28,2019,209,7.0803000000000003,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
