sparse_input_id,date,year,doy,CHLF,qc_rule_id,mask_version,sparse_input_source_flag
17,2019-08-02,2019,214,9.5456800000000008,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
18,2019-08-05,2019,217,16.251300000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
19,2019-08-07,2019,219,22.127300000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
20,2019-08-22,2019,234,25.7562,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
21,2019-08-25,2019,237,29.236799999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
22,2019-08-27,2019,239,20.134,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
23,2019-09-01,2019,244,18.253699999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
24,2019-09-04,2019,247,16.172999999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
25,2019-09-06,2019,249,12.902900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
26,2019-09-26,2019,269,0.95194400000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
27,2019-10-01,2019,274,1.1282300000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
28,2019-10-04,2019,277,2.6580499999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
29,2019-10-19,2019,292,6.6261400000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
30,2019-10-29,2019,302,3.18072,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
31,2019-10-31,2019,304,4.4898300000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
32,2019-11-03,2019,307,3.1014599999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
33,2019-11-05,2019,309,3.0060899999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
34,2019-11-30,2019,334,1.7383900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
35,2019-12-05,2019,339,1.5865899999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
36,2020-01-19,2020,19,1.17279,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
37,2020-01-24,2020,24,1.20834,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
38,2020-02-03,2020,34,1.98,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
39,2020-02-06,2020,37,2.5800000000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
40,2020-02-11,2020,42,2.3999999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
41,2020-02-13,2020,44,2.5649099999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
42,2020-02-21,2020,52,3.3427500000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
43,2020-02-23,2020,54,3.4131300000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
44,2020-02-26,2020,57,2.4901900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
45,2020-02-28,2020,59,2.97993,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
46,2020-03-14,2020,74,5.4329099999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
47,2020-03-19,2020,79,6.4644000000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
48,2020-03-22,2020,82,8.11266,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
49,2020-03-29,2020,89,2.72316,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
50,2020-04-01,2020,92,16.3386,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
51,2020-04-03,2020,94,15.624000000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
52,2020-04-11,2020,102,30.654699999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
53,2020-04-16,2020,107,12.445499999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
54,2020-04-18,2020,109,22.152100000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
55,2020-04-21,2020,112,8.3686199999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
56,2020-04-23,2020,114,6.1324800000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
57,2020-05-08,2020,129,4.8167,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
58,2020-05-21,2020,142,2.00678,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
59,2020-05-26,2020,147,0.97672499999999995,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
60,2020-05-31,2020,152,0.712565,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
61,2020-06-02,2020,154,2.4866999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
62,2020-06-05,2020,157,5.25,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
63,2020-06-07,2020,159,5.7000000000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
64,2020-06-10,2020,162,1.9469799999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
65,2020-06-12,2020,164,1.5869200000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
66,2020-06-15,2020,167,1.23678,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
67,2020-06-20,2020,172,1.1277900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
68,2020-06-22,2020,174,1.05671,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
69,2020-06-25,2020,177,1.4765699999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
70,2020-06-27,2020,179,1.5504,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
71,2020-07-02,2020,184,4.0038900000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
72,2020-07-12,2020,194,6.4330699999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
73,2020-07-25,2020,207,5.1186499999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
74,2020-08-01,2020,214,10.039199999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
75,2020-08-09,2020,222,38.953600000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
76,2020-08-11,2020,224,7.8166799999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
77,2020-08-14,2020,227,11.1112,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
78,2020-08-16,2020,229,8.4538200000000003,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
79,2020-08-19,2020,232,5.4730999999999996,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
80,2020-08-21,2020,234,6.5023099999999996,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
81,2020-08-24,2020,237,9.76309,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
82,2020-08-26,2020,239,9.0987100000000005,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
83,2020-09-05,2020,249,7.3597700000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
84,2020-09-10,2020,254,22.781400000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
85,2020-09-13,2020,257,30.6279,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
86,2020-09-18,2020,262,10.0665,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
87,2020-09-23,2020,267,4.8857900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
88,2020-10-15,2020,289,2.75556,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
89,2020-11-04,2020,309,1.0762,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
90,2020-11-09,2020,314,0.92027400000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
91,2020-11-22,2020,327,2.1299999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
92,2021-03-19,2021,78,3.4342299999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
93,2021-03-22,2021,81,4.1904500000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
94,2021-04-03,2021,93,29.1252,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
95,2021-04-08,2021,98,37.868200000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
96,2021-04-13,2021,103,16.1616,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
97,2021-04-18,2021,108,2.9368300000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
98,2021-04-21,2021,111,4.2085999999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
99,2021-04-23,2021,113,3.5371899999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
100,2021-05-08,2021,128,2.1332300000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
101,2021-05-13,2021,133,2.0792799999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
102,2021-05-18,2021,138,2.2734000000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
103,2021-05-28,2021,148,1.5831900000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
104,2021-06-02,2021,153,2.0250699999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
105,2021-06-05,2021,156,1.6093599999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
106,2021-06-07,2021,158,1.8439700000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
107,2021-06-10,2021,161,1.86602,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
108,2021-06-12,2021,163,1.57359,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
109,2021-06-15,2021,166,1.6633800000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
110,2021-06-20,2021,171,1.7517,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
111,2021-06-27,2021,178,1.90951,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
112,2021-06-30,2021,181,3.94116,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
113,2021-07-02,2021,183,5.0421399999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
114,2021-07-05,2021,186,4.1964600000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
115,2021-07-10,2021,191,3.8796400000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
116,2021-07-12,2021,193,6.1676299999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
117,2021-07-15,2021,196,6.6405599999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
118,2021-07-25,2021,206,4.8734299999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
119,2021-07-27,2021,208,6.2898300000000003,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
120,2021-08-06,2021,218,19.919799999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
121,2021-08-09,2021,221,25.183499999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
122,2021-08-11,2021,223,14.9703,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
123,2021-08-21,2021,233,6.4513800000000003,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
124,2021-08-31,2021,243,7.8305400000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
125,2021-09-03,2021,246,16.676100000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
126,2021-09-08,2021,251,5.3160499999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
127,2021-09-15,2021,258,3.3050099999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
128,2021-09-25,2021,268,1.9850699999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
129,2021-10-08,2021,281,1.21004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
130,2021-10-13,2021,286,2.3103699999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
131,2021-10-18,2021,291,2.5680399999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
132,2021-10-23,2021,296,2.70546,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
133,2021-10-25,2021,298,2.7398099999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
134,2021-10-30,2021,303,2.05321,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
135,2021-11-12,2021,316,1.25746,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
136,2021-11-22,2021,326,0.69021399999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
137,2021-12-04,2021,338,2.7400000000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
138,2022-04-18,2022,108,6.5410700000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
139,2022-04-21,2022,111,7.1035500000000003,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
140,2022-05-03,2022,123,3.1813500000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
141,2022-05-06,2022,126,2.9284400000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
142,2022-05-11,2022,131,3.1656499999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
143,2022-05-16,2022,136,2.8814700000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
144,2022-05-18,2022,138,2.5281899999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
145,2022-05-23,2022,143,2.36619,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
146,2022-06-05,2022,156,2.32077,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
147,2022-06-07,2022,158,1.7117100000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
148,2022-06-12,2022,163,1.37456,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
149,2022-06-15,2022,166,1.37253,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
150,2022-06-25,2022,176,1.73685,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
151,2022-06-30,2022,181,2.8654600000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
152,2022-07-12,2022,193,5.57172,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
153,2022-07-15,2022,196,6.45479,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
154,2022-07-17,2022,198,6.83324,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
155,2022-07-20,2022,201,16.980699999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
156,2022-07-30,2022,211,15.233499999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
157,2022-08-01,2022,213,18.181899999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
158,2022-08-14,2022,226,12.1309,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
159,2022-08-19,2022,231,12.212999999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
160,2022-09-08,2022,251,2.59266,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
161,2022-09-28,2022,271,4.06515,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
162,2022-09-30,2022,273,4.6492199999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
163,2022-10-03,2022,276,4.6959400000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
164,2022-10-08,2022,281,4.6608999999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
165,2022-10-10,2022,283,5.6771900000000004,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
166,2022-10-20,2022,293,4.5976499999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
167,2022-10-23,2022,296,4.5793299999999997,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
168,2022-10-30,2022,303,3.41282,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
169,2022-11-09,2022,313,2.6415299999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
170,2022-11-12,2022,316,2.5076800000000001,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
171,2022-11-17,2022,321,2.2400000000000002,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
172,2022-11-22,2022,326,2.0615399999999999,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
173,2022-12-09,2022,343,2.1427299999999998,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
174,2023-04-21,2023,111,13.4612,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,s2_openwater_reference_candidate
