year,first_sparse_input_date,last_sparse_input_date,n_sparse_inputs,n_common_support_days,n_common_support_segments,first_common_support_date,last_common_support_date,q05_reference,q95_reference,q95_minus_q05
2019,2019-04-17,2019-12-05,35,233,1,2019-04-17,2019-12-05,1.0535319999999999,29.615079999999978,28.561547999999977
2020,2020-01-19,2020-11-22,56,303,2,2020-01-19,2020-11-22,1.0936710000000001,22.145129999999998,21.051458999999998
2021,2021-03-19,2021-12-04,46,261,1,2021-03-19,2021-12-04,1.2662899999999999,23.422599999999999,22.156309999999998
2022,2022-04-18,2022-12-09,36,236,1,2022-04-18,2022-12-09,1.513585,18.3184,16.804815000000001
2023,2023-04-21,2023-11-29,27,223,1,2023-04-21,2023-11-29,0.94453010000000004,11.606679999999999,10.662149899999999
2024,2024-04-17,2024-11-28,40,226,1,2024-04-17,2024-11-28,1.3134375,17.630824999999998,16.317387499999999
2025,2025-03-21,2025-11-26,48,251,1,2025-03-21,2025-11-26,1.3806750000000001,31.359949999999998,29.979274999999998
