method,n_years,n_reconstruction_failures,equal_year_mean_bias,equal_year_mean_mae,equal_year_mean_rmse,equal_year_mean_nrmse,equal_year_mean_absolute_peak_date_error_days,equal_year_mean_normalized_absolute_peak_magnitude_error,equal_year_mean_absolute_integral_error,equal_year_mean_relative_integral_error,equal_year_mean_pearson_correlation,equal_year_mean_n_negative_reconstructed_days,equal_year_mean_recovery_fraction_5d,equal_year_mean_recovery_fraction_10d,equal_year_mean_recovery_fraction_15d,equal_year_mean_mean_absolute_timing_error_matched_days,equal_year_mean_mean_normalized_absolute_magnitude_error_matched,equal_year_global_peak_success_fraction_5d,equal_year_global_peak_success_fraction_10d,equal_year_global_peak_success_fraction_15d
linear_interpolation,7,0,-0.17893460394714972,2.0441709905365562,4.353087626924407,0.20346328824253312,34.571428571428569,0.79732510969717985,157.45983924999999,-0.021249157862925843,0.86389269503388311,0,0.73809523809523803,0.95238095238095244,1,3.1547619047619047,0.50174387580424151,0.5714285714285714,0.7142857142857143,0.7142857142857143
timesat_smoothing_spline,7,0,-0.16096840296509643,2.3118914929021357,4.7209905143939297,0.22292936847424422,54.571428571428569,1.0389577784735768,187.0741752126209,-0.017990468062009712,0.83023754378272374,0,0.5714285714285714,0.83333333333333326,0.83333333333333326,4,0.85577271404035027,0.42857142857142855,0.5714285714285714,0.7142857142857143
timesat_double_logistic_default_seapar1,7,0,-0.32010166614686525,3.0533589697409651,5.3309995358260931,0.25045631794676765,54.357142857142854,1.3043282013088928,125.95976639662383,-0.03207789913414949,0.74179791696904673,0,0.21428571428571427,0.33333333333333331,0.48809523809523808,6.7142857142857144,1.1738894902937755,0.5714285714285714,0.5714285714285714,0.7142857142857143
timesat_double_logistic_cv_seapar,7,0,-0.26109107451524999,2.8399911274163836,5.0846948256885911,0.23889271264377612,53,1.2042005192543057,139.46381990064725,-0.020391036525462473,0.775614194041233,0,0.45238095238095238,0.54761904761904767,0.58333333333333337,4.8809523809523805,1.0405095021619508,0.7142857142857143,0.7142857142857143,0.7142857142857143
