year,method,duration_days,n_scenarios,spearman_nrmse_vs_a_gap,spearman_event_recovery_10d_vs_a_gap,spearman_nrmse_vs_midpoint_relative_position,spearman_event_recovery_10d_vs_midpoint_relative_position
2019,linear_interpolation,10,174,-0.0052563116869071671,-0.26542810489344254,-0.0026965226857090375,-0.30137933157304148
2019,linear_interpolation,20,207,0.15528818366839728,-0.40727072779171963,0.10762892486529063,-0.40707311948129188
2019,linear_interpolation,30,202,0.14929949396372744,-0.47168428346541769,0.067390842551956487,-0.4075122457401204
2019,linear_interpolation,45,187,0.43866334101234017,-0.62299746158492975,0.022478865965457437,-0.58810943139641347
2019,timesat_double_logistic_cv_seapar,10,174,-0.089888400422022605,,0.16859763057578586,
2019,timesat_double_logistic_cv_seapar,20,207,-0.13225921465430279,,0.23324394423330158,
2019,timesat_double_logistic_cv_seapar,30,202,-0.078296502250986069,-0.045270691096337488,0.19675211826574454,0.036848236938879349
2019,timesat_double_logistic_cv_seapar,45,187,0.45422273739308638,-0.42824776322598335,0.24340246432885043,0.031183089555290051
2019,timesat_double_logistic_default_seapar1,10,174,0.12465846914365397,,-0.16272819193191371,
2019,timesat_double_logistic_default_seapar1,20,207,0.20265100185467641,-0.25855095758444308,-0.17465969813149648,-0.055290937976306576
2019,timesat_double_logistic_default_seapar1,30,202,0.3997209506882009,-0.4249315102339935,-0.22321304152506408,-0.067047398178575413
2019,timesat_double_logistic_default_seapar1,45,187,0.62218306119869959,-0.58530419086734786,-0.10146015406054844,0.01231041319223867
2019,timesat_smoothing_spline,10,174,0.064919780205898961,-0.025683483859185115,0.17407729290583199,-0.17293447312826235
2019,timesat_smoothing_spline,20,207,-0.1979607427802135,0.12366177071581221,0.1325488872205178,-0.40885852266828865
2019,timesat_smoothing_spline,30,202,-0.082439035556396062,0.15636989060540676,-0.054874359578522838,-0.61781019449002672
2019,timesat_smoothing_spline,45,187,0.21861925065772433,-0.16195803018773633,0.011278450822366535,-0.71297837697839095
2020,linear_interpolation,10,242,0.64905551828667851,-0.24310190836495532,0.17573104843632498,0.24072433263190487
2020,linear_interpolation,20,261,0.69384692314190821,-0.43008291853870978,0.10607617098367575,0.042852777741100849
2020,linear_interpolation,30,243,0.71227811270104924,-0.61791683452626678,0.15929836833373537,-0.093021298950525355
2020,linear_interpolation,45,213,0.70141176522720328,-0.79942310880786627,0.26679321125851158,-0.26594606990079295
2020,timesat_double_logistic_cv_seapar,10,242,0.45650836878418327,-0.10033418464898151,-0.026578284681262013,0.036110007895277026
2020,timesat_double_logistic_cv_seapar,20,261,0.62605589197398059,-0.35843948857022945,-0.1092503939514682,0.23783425692924834
2020,timesat_double_logistic_cv_seapar,30,243,0.70231545570246035,-0.33000227463572734,0.22546764260404453,0.12187654978327281
2020,timesat_double_logistic_cv_seapar,45,213,0.57643633155162666,-0.34006823005141246,0.32027283915049537,-0.19703062403560478
2020,timesat_double_logistic_default_seapar1,10,242,0.42473899953471728,0.26692397023620512,0.29499414577148608,0.14944116352983478
2020,timesat_double_logistic_default_seapar1,20,261,0.57888954503307299,0.28206008009869854,0.39985688750950377,0.16298185245056956
2020,timesat_double_logistic_default_seapar1,30,243,0.55853867275389002,0.28589646728846962,0.50968693891290817,0.25677846979871993
2020,timesat_double_logistic_default_seapar1,45,213,0.42830096704393134,0.16902306051439453,0.50910732587403229,0.16344064750657969
2020,timesat_smoothing_spline,10,242,0.67091530034286229,0.0067663975754149843,0.27014438541978009,-0.19586809597154436
2020,timesat_smoothing_spline,20,261,0.68585633505408516,-0.2972436200946123,0.20903011116474093,-0.25316644594568094
2020,timesat_smoothing_spline,30,243,0.71066451359523231,-0.59049877190824862,0.23994486381937444,-0.34196011929045478
2020,timesat_smoothing_spline,45,213,0.6907118647612408,-0.75185962212098778,0.30199084065292908,-0.48121564509190429
2021,linear_interpolation,10,235,0.66538505096386436,-0.21343186767965097,-0.10947265654140943,-0.028254727900564793
