year,duration_days,default_mean_nrmse,default_mean_event_recovery_fraction_10d,default_mean_absolute_integral_error,default_mean_pearson_correlation,default_fraction_scenarios_with_negative_values,default_fraction_reconstruction_failures,cv_mean_nrmse,cv_mean_event_recovery_fraction_10d,cv_mean_absolute_integral_error,cv_mean_pearson_correlation,cv_fraction_scenarios_with_negative_values,cv_fraction_reconstruction_failures,cv_minus_default_mean_nrmse,cv_minus_default_mean_event_recovery_fraction_10d,cv_minus_default_mean_absolute_integral_error,cv_minus_default_mean_pearson_correlation,cv_minus_default_fraction_scenarios_with_negative_values,cv_minus_default_fraction_reconstruction_failures
2019,10,0.27355240051007668,0.5,527.27362743556671,0.79403838969271578,0,0,0.25794767649760486,0.5,462.37124907993211,0.82538946224198351,0,0,-0.015604724012471816,0,-64.902378355634596,0.031351072549267722,0,0
2019,20,0.2768184546918912,0.48792270531400966,515.88054773360363,0.78577642416560345,0,0,0.25759849948259184,0.5,461.46001688845791,0.82396458541008533,0,0,-0.019219955209299366,0.012077294685990336,-54.42053084514572,0.038188161244481877,0,0
2019,30,0.28205697774409383,0.45544554455445546,494.78406320401945,0.77279227572167386,0,0,0.2592540968853958,0.49257425742574257,455.72307964827763,0.81980921953201114,0,0,-0.022802880858698027,0.037128712871287106,-39.060983555741814,0.047016943810337275,0,0
2019,45,0.29743952212423053,0.36631016042780751,424.39234971262022,0.73317824635914608,0,0,0.27596467800928126,0.41176470588235292,459.62399863283377,0.76324981507677581,0,0,-0.021474844114949265,0.045454545454545414,35.231648920213559,0.030071568717629726,0,0
2020,10,0.2570736597778952,0.099173553719008253,48.851487545669471,0.660440486044238,0,0,0.24208605713286949,0.80991735537190079,79.131622252738921,0.711972026953548,0,0,-0.014987602645025716,0.71074380165289253,30.28013470706945,0.051531540909310003,0,0
2020,20,0.25989322303817208,0.13537675606641122,76.34145105425182,0.656095295342351,0,0,0.2502485814533677,0.72158365261813529,112.90276806704863,0.6959230413947477,0,0,-0.0096446415848043809,0.58620689655172409,36.561317012796806,0.039827746052396695,0,0
2020,30,0.26472186617202809,0.16049382716049382,110.75810966611439,0.64739444719138606,0,0,0.26828343825390644,0.67764060356652933,180.70601322918876,0.67245092168913634,0,0,0.0035615720818783503,0.51714677640603557,69.947903563074362,0.025056474497750281,0,0
2020,45,0.28049265508748478,0.1956181533646322,204.35382763563567,0.62491521051025278,0,0,0.30534382876582905,0.61032863849765262,340.6852936240345,0.63366699759450262,0,0,0.024851173678344274,0.41471048513302045,136.33146598839883,0.0087517870842498402,0,0
2021,10,0.21473842562433443,0.51702127659574471,145.82745179466883,0.69943581888408835,0,0,0.19269798204599747,1,165.29178902249348,0.79103973023377117,0,0,-0.022040443578336955,0.48297872340425529,19.464337227824643,0.091603911349682821,0,0
2021,20,0.21945532877521173,0.51666666666666672,158.52264902538883,0.6875024088495546,0,0,0.20202360360819824,0.97916666666666663,186.8007842336724,0.77186187596542766,0,0,-0.017431725167013495,0.46249999999999991,28.278135208283572,0.084359467115873055,0,0
