year,duration_days,default_mean_nrmse,default_mean_event_recovery_fraction_10d,default_mean_absolute_integral_error,default_mean_pearson_correlation,default_fraction_scenarios_with_negative_values,default_fraction_reconstruction_failures,cv_mean_nrmse,cv_mean_event_recovery_fraction_10d,cv_mean_absolute_integral_error,cv_mean_pearson_correlation,cv_fraction_scenarios_with_negative_values,cv_fraction_reconstruction_failures,cv_minus_default_mean_nrmse,cv_minus_default_mean_event_recovery_fraction_10d,cv_minus_default_mean_absolute_integral_error,cv_minus_default_mean_pearson_correlation,cv_minus_default_fraction_scenarios_with_negative_values,cv_minus_default_fraction_reconstruction_failures
2021,30,0.22361881937736033,0.47826086956521741,172.88648112190435,0.67906910188267711,0,0,0.20948017681409373,0.94999999999999996,212.42770990860507,0.75709570994438757,0,0,-0.014138642563266607,0.47173913043478255,39.541228786700714,0.078026608061710467,0,0
2021,45,0.23676946260507323,0.42325581395348838,247.38716258212943,0.65642042056060623,0,0,0.2326818928789956,0.88372093023255816,293.93066540875918,0.72870117485907182,0,0,-0.0040875697260776278,0.46046511627906977,46.543502826629748,0.072280754298465588,0,0
2022,10,0.33531706425583152,0.5,55.521369640308578,0.68633347379364273,0,0,0.31447845028876559,0.5,101.21505904017954,0.74114179716466155,0,0,-0.020838613967065933,0,45.693689399870962,0.054808323371018819,0,0
2022,20,0.33681077728236414,0.5,63.632249575978683,0.68166977740433332,0,0,0.3143771060551323,0.49302325581395351,106.7489008622756,0.74091359656852329,0,0,-0.022433671227231833,-0.0069767441860464907,43.116651286296921,0.05924381916418997,0,0
2022,30,0.34251867020296511,0.48048780487804876,94.989631612493056,0.66837577761976308,0,0,0.31793657912936829,0.48048780487804876,129.32431508331442,0.73433321879234437,0,0,-0.024582091073596823,0,34.334683470821361,0.065957441172581288,0,0
2022,45,0.36246128094254737,0.42894736842105263,155.86456787584831,0.60021319969480214,0,0,0.33342528655203502,0.42105263157894735,184.53981665741227,0.68937083258791232,0,0,-0.029035994390512354,-0.0078947368421052877,28.675248781563965,0.089157632893110184,0,0
2023,10,0.18295503295342749,0.30749354005167956,76.529835442126739,0.85717207170962384,0,0,0.18287239356737484,0.2868217054263566,83.94040591437458,0.85768702310678546,0,0,-8.2639386052657526e-05,-0.02067183462532296,7.4105704722478407,0.00051495139716162264,0,0
2023,20,0.19015274519182052,0.28343313373253493,91.251343289859022,0.84918029900250092,0,0,0.18960672292157704,0.27744510978043907,95.813004744590856,0.85002237543154657,0,0,-0.00054602227024347361,-0.0059880239520958556,4.5616614547318335,0.00084207642904565727,0,0
2023,30,0.2015777492270692,0.23518518518518516,112.41034470203746,0.83389929455747702,0,0,0.20049053266923633,0.24259259259259253,110.95148080971401,0.83526380909873221,0,0,-0.0010872165578328652,0.0074074074074073626,-1.4588638923234498,0.0013645145412551907,0,0
2023,45,0.27571134232917022,0.18267419962335213,209.18616731413869,0.7414590636401589,0,0,0.26750301846345109,0.22598870056497175,188.48262575227878,0.79737754257099758,0,0,-0.0082083238657191249,0.043314500941619621,-20.703541561859907,0.055918478930838678,0,0
2024,10,0.2264895145872701,0.5,56.130373225857916,0.79199623916519335,0,0,0.22243717891530596,0.5,60.222627569676128,0.79336315933131973,0,0,-0.0040523356719641412,0,4.0922543438182117,0.0013669201661263841,0,0
2024,20,0.23031919254154559,0.48292682926829267,56.823855117375679,0.78718690031230587,0,0,0.22654440170016069,0.48292682926829267,77.427667457498572,0.78954794342127499,0,0,-0.0037747908413849063,0,20.603812340122893,0.0023610431089691186,0,0
2024,30,0.23650597381401567,0.46410256410256412,74.124076185041915,0.77798252020608494,0,0,0.23178703650403173,0.46410256410256412,97.581440624206607,0.78518947819947393,0,0,-0.0047189373099839338,0,23.457364439164692,0.007206957993388996,0,0
2024,45,0.26104590433921132,0.38611111111111113,162.47199402215713,0.75042384308480448,0,0,0.2651642098224955,0.38055555555555554,183.79306993511418,0.75817719838063058,0,0,0.0041183054832841792,-0.0055555555555555913,21.321075912957042,0.0077533552958261032,0,0
2025,10,0.2785359237512014,0.020089285714285716,81.122466288092028,0.67169145828914412,0,0,0.27968391563166578,0.010044642857142858,93.795551883964237,0.67259971232250848,0,0,0.0011479918804643829,-0.010044642857142858,12.673085595872209,0.00090825403336436406,0,0
2025,20,0.28208066405393201,0.036956521739130437,138.21213451707581,0.66201429113245636,0,0,0.28263531009331688,0.034782608695652174,137.16105450289314,0.66690266944333643,0,0,0.00055464603938487622,-0.0021739130434782622,-1.0510800141826735,0.0048883783108800705,0,0
2025,30,0.2899850998073632,0.045454545454545456,201.80561023173513,0.6413656711790916,0,0,0.2873447776628551,0.037499999999999999,187.33304349549402,0.65776509562103747,0,0,-0.0026403221445081004,-0.0079545454545454572,-14.472566736241106,0.016399424441945865,0,0
2025,45,0.30999320224562649,0.067073170731707321,363.15595477978707,0.60012911618510723,0,0,0.30489994901756751,0.067073170731707321,326.34368987933465,0.62627197777408106,0,0,-0.0050932532280589804,0,-36.812264900452419,0.026142861588973831,0,0
