year,default_nrmse,default_mae,default_rmse,default_absolute_peak_date_error_days,default_normalized_absolute_peak_magnitude_error,default_absolute_integral_error,default_pearson_correlation,default_recovery_fraction_5d,default_recovery_fraction_10d,default_recovery_fraction_15d,default_mean_absolute_timing_error_matched_days,cv_nrmse,cv_mae,cv_rmse,cv_absolute_peak_date_error_days,cv_normalized_absolute_peak_magnitude_error,cv_absolute_integral_error,cv_pearson_correlation,cv_recovery_fraction_5d,cv_recovery_fraction_10d,cv_recovery_fraction_15d,cv_mean_absolute_timing_error_matched_days,cv_minus_default_nrmse,cv_minus_default_mae,cv_minus_default_rmse,cv_minus_default_absolute_peak_date_error_days,cv_minus_default_normalized_absolute_peak_magnitude_error,cv_minus_default_absolute_integral_error,cv_minus_default_pearson_correlation,cv_minus_default_recovery_fraction_5d,cv_minus_default_recovery_fraction_10d,cv_minus_default_recovery_fraction_15d,cv_minus_default_mean_absolute_timing_error_matched_days
2019,0.27219968749762552,4.2311019493418023,7.7744444400484243,4.5,1.3772426575877084,544.4316727329483,0.80039558192864035,0.5,0.5,0.5,4.5,0.25868563597161831,3.6404100928499239,7.3884622087138956,5,1.2042158452897078,455.08857349646001,0.82626369235256025,0.5,0.5,0.5,5,-0.013514051526007209,-0.59069185649187839,-0.38598223133452869,0.5,-0.17302681229800054,-89.343099236488285,0.025868110423919899,0,0,0,0.5
2020,0.2544808156460599,3.0294291078473137,5.3571924568595879,151,1.2794545539353686,6.2204850313642055,0.66486755162307976,0,0,0.33333333333333331,11,0.23284985126467261,2.6910484983026297,4.9018290970543541,150,1.1517799131940885,57.026583254096749,0.73029560599506693,0.66666666666666663,1,1,2.6666666666666665,-0.021630964381387285,-0.33838060954468396,-0.45536335980523379,-1,-0.1276746407412801,50.806098222732544,0.065428054371987177,0.66666666666666663,1,0.66666666666666674,-8.3333333333333339
2021,0.21032940574689091,2.7649537672713524,4.6601235158438969,14,0.98326775087179963,131.33297694917292,0.7074911646466352,0,0.5,1,10.5,0.1884191156561992,2.6865837047769769,4.1746723364046039,4,0.70964418467741963,161.52361567016214,0.7969408791950332,1,1,1,3.5,-0.021910290090691703,-0.078370062494375503,-0.48545117943929306,-10,-0.27362356619438,30.190638720989227,0.089449714548398007,1,0.5,0,-7
2022,0.33494913303686952,2.6259611057443619,5.6287582150949822,1,2.6137357946175994,54.795726626892247,0.68971023098309792,0.5,0.5,0.5,1,0.3153344294350261,2.4268103246511457,5.2991367497861681,3,2.5475243039161652,99.039457887191929,0.7413905497220209,0.5,0.5,0.5,3,-0.01961470360184342,-0.19915078109321627,-0.32962146530881409,2,-0.066211490701434172,44.243731260299683,0.051680318738922981,0,0,0,2
2023,0.17826547736930351,1.3450203008213824,1.9006932417065727,2,0.0032627228755110001,71.451679160701588,0.86203013794015915,0,0.33333333333333331,0.33333333333333331,6,0.17797730506965581,1.3423849489468946,1.8976207054507008,2,0.0093966739900238992,76.947683205711201,0.86293110545045904,0,0.33333333333333331,0.33333333333333331,6,-0.00028817229964769875,-0.0026353518744877125,-0.0030725362558718938,0,0.0061339511145128995,5.496004045009613,0.0009009675102998882,0,0,0,0
2024,0.2256556615274308,2.6850856691507725,3.6821108707119303,1,1.1623474375026812,55.851695520046178,0.79252834296939945,0.5,0.5,0.5,1,0.2216381473953131,2.4816682439582167,3.616555535831441,0,1.1332577009987452,61.000217991706904,0.79371464156444727,0.5,0.5,0.5,0,-0.0040175141321177055,-0.20341742519255579,-0.065555334880489369,-1,-0.029089736503935981,5.1485224716607263,0.0011862985950478189,0,0,0,-1
2025,0.27731404480319322,4.6919608880097714,8.3136740105172517,207,1.7109864917715814,17.634128755241363,0.67556240869231543,0,0,0.25,13,0.27734450371394792,4.6110320784288987,8.3145871465789654,207,1.6735850127139915,65.620607799201935,0.67776288400904383,0,0,0.25,14,3.045891075470486e-05,-0.080928809580872674,0.00091313606171361528,0,-0.037401479057589837,47.986479043960571,0.0022004753167284008,0,0,0,1
