year,deletion_fraction,default_mean_nrmse,default_mean_event_recovery_fraction_10d,default_mean_absolute_integral_error,default_mean_pearson_correlation,default_fraction_scenarios_with_negative_values,default_fraction_reconstruction_failures,cv_mean_nrmse,cv_mean_event_recovery_fraction_10d,cv_mean_absolute_integral_error,cv_mean_pearson_correlation,cv_fraction_scenarios_with_negative_values,cv_fraction_reconstruction_failures,cv_minus_default_mean_nrmse,cv_minus_default_mean_event_recovery_fraction_10d,cv_minus_default_mean_absolute_integral_error,cv_minus_default_mean_pearson_correlation,cv_minus_default_fraction_scenarios_with_negative_values,cv_minus_default_fraction_reconstruction_failures
2019,0.10000000000000001,0.2727582714077792,0.5,528.09752473038327,0.79391492550543885,0,0,0.25798184953287595,0.5,469.6041604979028,0.82378374033501001,0,0,-0.014776421874903245,0,-58.493364232480474,0.029868814829571155,0,0
2019,0.20000000000000001,0.27552370271547955,0.5,493.39063854229346,0.78037268593194076,0,0,0.25662346693145605,0.5,480.59058992993727,0.82347109983926969,0,0,-0.0189002357840235,0,-12.800048612356193,0.043098413907328936,0,0
2019,0.29999999999999988,0.27713321843513578,0.5,449.47538822275311,0.76822924551503458,0,0,0.25496358073741271,0.5,476.77771835458179,0.82149350547999445,0,0,-0.022169637697723066,0,27.302330131828683,0.05326425996495987,0,0
2019,0.5,0.28450470885299201,0.48999999999999999,392.04316531231075,0.74091620156384186,0,0,0.25628131363518059,0.495,479.39593605053329,0.81701764329727367,0,0,-0.02822339521781142,0.0050000000000000044,87.352770738222546,0.076101441733431807,0,0
2020,0.10000000000000001,0.25896677200264906,0.13999999999999999,63.748230865645859,0.65804973272173328,0,0,0.24360430943642949,0.75666666666666671,70.193973544470666,0.70805711066263166,0,0,-0.015362462566219565,0.6166666666666667,6.4457426788248071,0.050007377940898379,0,0
2020,0.20000000000000001,0.26489778173347567,0.16333333333333333,122.29505090809641,0.64630010213814981,0,0,0.25730911558263914,0.68000000000000016,144.0560468232824,0.68270045185578609,0,0,-0.0075886661508365316,0.51666666666666683,21.760995915185987,0.036400349717636282,0,0
2020,0.29999999999999988,0.27274224340778713,0.22333333333333333,131.89770092133557,0.63281401205102927,0,0,0.27029912983757748,0.64000000000000001,174.91257119533995,0.65980290467263158,0,0,-0.002443113570209654,0.41666666666666669,43.01487027400438,0.026988892621602312,0,0
2020,0.5,0.30107480948238208,0.32666666666666672,293.91364534326624,0.58155502492635947,0,0,0.33134808497230706,0.52666666666666662,401.30801222355132,0.57810643418598606,0,0,0.030273275489924978,0.1999999999999999,107.39436688028508,-0.0034485907403734029,0,0
2021,0.10000000000000001,0.21581262270313073,0.505,139.95425895532918,0.69962507314945199,0,0,0.19335714009199997,1,161.96859314277216,0.79158730379339093,0,0,-0.022455482611130756,0.495,22.014334187442984,0.091962230643938936,0,0
2021,0.20000000000000001,0.22561574857738023,0.56000000000000005,162.60513007710009,0.68401019343376657,0,0,0.20363262228232945,0.995,181.55010037579916,0.77868862618300483,0,0,-0.021983126295050781,0.43499999999999994,18.944970298699076,0.094678432749238262,0,0
2021,0.29999999999999988,0.22950139782481649,0.58999999999999997,177.54041359958509,0.67271314440940211,0,0,0.20967736020511427,0.97499999999999998,202.60290847679929,0.76744862089288102,0,0,-0.019824037619702223,0.38500000000000001,25.062494877214192,0.094735476483478909,0,0
2021,0.5,0.25110507755858857,0.57999999999999996,252.07074325333932,0.62173577026957261,0,0,0.23692529646946997,0.85499999999999998,269.87951129243908,0.70861171728664929,0,0,-0.014179781089118604,0.27500000000000002,17.80876803909976,0.086875947017076682,0,0
2022,0.10000000000000001,0.33564021347153372,0.5,59.99897933942426,0.68328941018442901,0,0,0.31465567064590283,0.5,98.437451355856084,0.73858422545225222,0,0,-0.020984542825630892,0,38.438472016431824,0.055294815267823205,0,0
2022,0.20000000000000001,0.33800562948381441,0.5,85.154973017415571,0.67119463228432918,0,0,0.3120469081290479,0.5,121.99059119147846,0.74182436623583015,0,0,-0.025958721354766512,0,36.835618174062887,0.070629733951500961,0,0
2022,0.29999999999999988,0.33793932535397209,0.5,99.793074337708561,0.66721633187961571,0,0,0.30854497732764274,0.5,137.10064939363033,0.74717855460117666,0,0,-0.029394348026329342,0,37.307575055921774,0.079962222721560949,0,0
2022,0.5,0.35023238596553286,0.46000000000000002,144.29738554346645,0.62585598825597732,0,0,0.32039008535785135,0.47499999999999998,155.08754314057089,0.71155450534604481,0,0,-0.029842300607681504,0.014999999999999958,10.790157597104439,0.085698517090067483,0,0
2023,0.10000000000000001,0.1838808866259653,0.28666666666666663,78.829077514237355,0.85646322674268904,0,0,0.18378029155609243,0.29333333333333328,86.190523797806449,0.85711889722772483,0,0,-0.00010059506987286637,0.0066666666666666541,7.3614462835690944,0.0006556704850357864,0,0
2023,0.20000000000000001,0.19111032973133382,0.26666666666666661,95.352646863744269,0.85051378596704241,0,0,0.19045741023719565,0.26999999999999996,101.69569797425032,0.85174510061951836,0,0,-0.00065291949413817663,0.0033333333333333548,6.3430511105060532,0.0012313146524759455,0,0
2023,0.29999999999999988,0.2214612922231457,0.21999999999999997,138.03199804675754,0.78758188812520613,0,0,0.20140899324094319,0.27666666666666662,107.60368536579873,0.83355799206032355,0,0,-0.02005229898220251,0.056666666666666643,-30.428312680958811,0.045976103935117418,0,0
2023,0.5,0.28017922080396818,0.17333333333333331,277.00377089291811,0.70822969430725347,0,0,0.26334399799857289,0.22333333333333333,209.34923418560757,0.78074589638618419,0,0,-0.016835222805395289,0.050000000000000017,-67.654536707310541,0.072516202078930725,0,0
2024,0.10000000000000001,0.22787696354845852,0.495,59.641975746302307,0.79151626480977444,0,0,0.22581659252514158,0.495,63.002533288627419,0.79058919309160758,0,0,-0.002060371023316937,0,3.3605575423251111,-0.00092707171816686085,0,0
2024,0.20000000000000001,0.23229878943120214,0.47999999999999998,78.258832362051905,0.78877184667301337,0,0,0.23142948137786154,0.47499999999999998,84.865767348228474,0.78612331776041544,0,0,-0.00086930805334059502,-0.0050000000000000044,6.6069349861765687,-0.002648528912597925,0,0
2024,0.29999999999999988,0.23548031487267751,0.46500000000000002,96.667046707171082,0.78323089342167163,0,0,0.23397845828167513,0.45000000000000001,88.136715552066633,0.78339964758074132,0,0,-0.0015018565910023818,-0.015000000000000013,-8.5303311551044487,0.00016875415906969504,0,0
2024,0.5,0.2542165562245034,0.41499999999999998,165.62859904811606,0.76580673592395399,0,0,0.2580991023335566,0.39500000000000002,157.2808533052461,0.75756945879942894,0,0,0.0038825461090531976,-0.019999999999999962,-8.3477457428699608,-0.0082372771245250442,0,0
2025,0.10000000000000001,0.27752368907182062,0.017500000000000002,98.857528523405691,0.66884715066031641,0,0,0.27882669616632877,0.0025000000000000001,114.63236495739623,0.67065443373133149,0,0,0.0013030070945081462,-0.015000000000000001,15.774836433990544,0.0018072830710150756,0,0
2025,0.20000000000000001,0.27912637802420248,0.042500000000000003,122.07928392240515,0.66353723024252576,0,0,0.2804874172101009,0.014999999999999999,123.61243651802826,0.66556384505728483,0,0,0.0013610391858984161,-0.027500000000000004,1.5331525956231076,0.0020266148147590757,0,0
2025,0.29999999999999988,0.2832831863994732,0.087499999999999994,164.36151958846688,0.6508958768391494,0,0,0.28335368937624505,0.037499999999999999,170.86756275472334,0.65913466598062564,0,0,7.0502976771857906e-05,-0.049999999999999996,6.5060431662564611,0.0082387891414762437,0,0
2025,0.5,0.29212843714777664,0.092499999999999999,229.91090584694442,0.62643615556141152,0,0,0.2916789391626522,0.077499999999999999,235.55959447345066,0.63896125786450997,0,0,-0.00044949798512444739,-0.014999999999999999,5.6486886265062424,0.012525102303098445,0,0
