year,method,duration_days,contains_reference_global_peak,n_scenarios,n_reconstruction_failures,fraction_reconstruction_failures,mean_mae,mean_rmse,mean_nrmse,median_nrmse,mean_absolute_global_peak_timing_error_days,median_absolute_global_peak_timing_error_days,mean_normalized_absolute_global_peak_magnitude_error,mean_absolute_integral_error,mean_pearson_correlation,fraction_scenarios_with_negative_values,mean_matched_event_absolute_timing_error_days,mean_matched_event_normalized_absolute_magnitude_error,global_peak_success_fraction_5d,mean_event_recovery_fraction_5d,global_peak_success_fraction_10d,mean_event_recovery_fraction_10d,global_peak_success_fraction_15d,mean_event_recovery_fraction_15d
2019,linear_interpolation,10,False,164,0,0,3.2395837558078591,7.4811242807136811,0.26192993043352158,0.2620996230591307,1.1097560975609757,1,1.1099346089279243,376.79149007926833,0.81560172876773362,0,3.7987804878048781,0.67110101246920573,0.99390243902439024,0.49695121951219512,0.99390243902439024,0.96036585365853655,0.99390243902439024,0.96036585365853655
2019,linear_interpolation,10,True,10,0,0,3.3672085336626822,7.7366673779839576,0.27087703292496473,0.27842344150979231,12.699999999999999,19,1.2943269041299874,426.63415899999984,0.81215683129953309,0,6.25,0.37668539534341794,0.40000000000000002,0.20000000000000001,0.40000000000000002,0.69999999999999996,0.40000000000000002,0.69999999999999996
2019,linear_interpolation,20,False,187,0,0,3.275061616917482,7.4707182986879204,0.26156559506816385,0.26153284248712833,1,1,1.1101211347111279,364.66030840106953,0.81445566816839277,0,3.5427807486631018,0.71432149524237298,1,0.5,1,0.92245989304812837,1,0.92245989304812837
2019,linear_interpolation,20,True,20,0,0,3.569315550164037,8.2014785756925637,0.28715105272629371,0.28497055223366108,14.949999999999999,19,1.3293206306604963,484.22893629999982,0.78770929796562927,0,6.4749999999999996,0.30519984421012503,0.25,0.125,0.25,0.625,0.25,0.625
2019,linear_interpolation,30,False,172,0,0,3.3168949341111356,7.4466154853888442,0.26072170476855278,0.26092602067718357,1,1,1.1102697674444673,340.74654398837208,0.81151987133685666,0,3.4796511627906979,0.73304735985077474,1,0.5,1,0.90697674418604646,1,0.90697674418604646
2019,linear_interpolation,30,True,30,0,0,3.863277162882814,8.8166789904755003,0.30869051602089298,0.31844858316076502,13.266666666666667,19,1.3958253709964661,581.78345119999972,0.76971357357967352,0,6.666666666666667,0.44035079377817127,0.16666666666666666,0.083333333333333329,0.43333333333333335,0.71666666666666667,0.43333333333333335,0.71666666666666667
2019,linear_interpolation,45,False,142,0,0,3.4457446261662539,7.4644003962485286,0.26134439198633541,0.25999129320484837,1,1,1.1106612367562201,293.93811890845069,0.80362378207124918,0,3.2288732394366195,0.77686320078279969,1,0.5,1,0.86267605633802813,1,0.86267605633802813
2019,linear_interpolation,45,True,45,0,0,4.4105981392271518,9.6854744955654688,0.33910887797697364,0.31844858316076502,18.488888888888887,19,1.5264899974375816,662.15054759999998,0.64881718749763406,0,6.6860465116279073,0.44184849423232225,0.1111111111111111,0.055555555555555552,0.28888888888888886,0.57777777777777772,0.33333333333333331,0.59999999999999998
2019,timesat_double_logistic_cv_seapar,10,False,164,0,0,3.6430389912224266,7.3728277038122441,0.25813823899923932,0.25819112321567228,5.0853658536585362,5,1.2027419333022851,463.2943143080812,0.82495788511270751,0,5.0853658536585362,1.2027419333022851,0.8597560975609756,0.4298780487804878,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,10,True,10,0,0,3.6536320366462247,7.2781236791609034,0.25482245147079946,0.25429852370027001,4.0999999999999996,4,1.2238761180593021,447.23297933828735,0.83246732716210903,0,4.0999999999999996,1.2238761180593021,1,0.5,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,20,False,187,0,0,3.6586421161470648,7.3741371372571063,0.25818408502428197,0.258036790882821,5.2566844919786098,5,1.2072995822356021,464.90578903856465,0.82318092430041034,0,5.2566844919786098,1.2072995822356021,0.77005347593582885,0.38502673796791442,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,20,True,20,0,0,3.6409200975293907,7.2010310113412377,0.25212327466778905,0.25198405379910488,4.5499999999999998,5,1.2129488248166027,429.24204728495977,0.83129181678554664,0,4.5499999999999998,1.2129488248166027,1,0.5,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,30,False,172,0,0,3.6754177552901184,7.3696324917570593,0.25802636789004096,0.25700848678914712,5.6569767441860463,5,1.204614545788167,453.77707205792541,0.81932784372607159,0,5.6569767441860463,1.204614545788167,0.66860465116279066,0.33430232558139533,0.98255813953488369,0.49127906976744184,1,0.5
2019,timesat_double_logistic_cv_seapar,30,True,30,0,0,3.779611445256756,7.6057424853446394,0.26629307645876349,0.24930571345492861,4.2333333333333334,5,1.3114169513070155,466.8801898329645,0.82256910748606527,0,4.2333333333333334,1.3114169513070155,1,0.5,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,45,False,142,0,0,3.8282406171340924,7.5109404387543082,0.2629738569756202,0.25712806182472731,6.28169014084507,5,1.1984408705738849,426.55479745958814,0.80411227324444168,0,5.781021897810219,1.2048631018547442,0.647887323943662,0.323943661971831,0.87323943661971826,0.43661971830985913,0.96478873239436624,0.48239436619718312
2019,timesat_double_logistic_cv_seapar,45,True,45,0,0,4.584626764102314,9.0528092885721581,0.316957935493278,0.2718177629983044,12.088888888888889,7,1.3528892919184761,563.97570011285325,0.63430605819214148,0,6.09375,1.1609391644722493,0.35555555555555557,0.17777777777777778,0.66666666666666663,0.33333333333333331,0.71111111111111114,0.35555555555555557
2019,timesat_double_logistic_default_seapar1,10,False,164,0,0,4.2217289465329904,7.7743896917633064,0.27219777064476031,0.27191842490002088,4.5182926829268295,4.5,1.3828813565394036,520.04756468219921,0.79505914622220286,0,4.5182926829268295,1.3828813565394036,0.78658536585365857,0.39329268292682928,1,0.5,1,0.5
2019,timesat_double_logistic_default_seapar1,10,True,10,0,0,4.4375581314525405,8.4476013627794373,0.29576833030126526,0.29882551818661302,6.1500000000000004,6,1.4969146377591056,645.78105659079449,0.77729798260912897,0,6.1500000000000004,1.4969146377591056,0.10000000000000001,0.050000000000000003,1,0.5,1,0.5
2019,timesat_double_logistic_default_seapar1,20,False,187,0,0,4.2273053050483389,7.8014242448734921,0.27314430733493505,0.27153391776425168,4.7754010695187166,4.5,1.3857035129075075,494.5546141418323,0.78862904471019979,0,4.7754010695187166,1.3857035129075075,0.65240641711229952,0.32620320855614976,1,0.5,1,0.5
2019,timesat_double_logistic_default_seapar1,20,True,20,0,0,4.5461566519488432,8.8875463734544269,0.31117173247943136,0.30795920930110671,7.6500000000000004,7,1.5555611923042294,715.27802681666503,0.75910442207363105,0,7.6500000000000004,1.5555611923042294,0.10000000000000001,0.050000000000000003,0.75,0.375,1,0.5
2019,timesat_double_logistic_default_seapar1,30,False,172,0,0,4.2506852491581268,7.8483606654006737,0.27478765035426933,0.27460567110353934,5.1279069767441863,4.5,1.3867812743739252,446.23573078745369,0.77703033986173564,0,5.1279069767441863,1.3867812743739252,0.55232558139534882,0.27616279069767441,0.98255813953488369,0.49127906976744184,1,0.5
2019,timesat_double_logistic_default_seapar1,30,True,30,0,0,4.6411172415102557,9.246357169426739,0.32373445477908774,0.3336639924735792,7.2000000000000002,9,1.6067977094745152,773.12783572566445,0.74849404131865227,0,7.2000000000000002,1.6067977094745152,0.33333333333333331,0.16666666666666666,0.5,0.25,1,0.5
2019,timesat_double_logistic_default_seapar1,45,False,142,0,0,4.4819338853424,8.0881860181099086,0.28318444147739874,0.28276268638372398,5.806338028169014,6,1.3911963026409593,334.60351352919082,0.74497557995895336,0,5.3978102189781021,1.3972092749242926,0.45070422535211269,0.22535211267605634,0.8380281690140845,0.41901408450704225,0.96478873239436624,0.48239436619718312
2019,timesat_double_logistic_default_seapar1,45,True,45,0,0,4.835070611371977,9.7801087029070821,0.34242222105423309,0.3247862939609707,13.155555555555555,11,1.6637303927966636,707.7260105581089,0.69595110477753108,0,7.7000000000000002,1.5730469255602002,0.17777777777777778,0.088888888888888892,0.40000000000000002,0.20000000000000001,0.66666666666666663,0.33333333333333331
2019,timesat_smoothing_spline,10,False,164,0,0,3.2617426095521713,7.4619684661805445,0.26125924498842107,0.26114323533499528,8.6158536585365848,9,1.1473460167224094,367.9643016100822,0.80458283542362574,0,7.3231707317073171,0.66412566480122093,0.067073170731707321,0.07926829268292683,0.99390243902439024,0.98780487804878048,1,1
2019,timesat_smoothing_spline,10,True,10,0,0,3.2479469596953217,7.4197288455547747,0.25978034683395934,0.25861167286939551,8.8000000000000007,9,1.1435082621522796,365.89591354024316,0.80542910587168692,0,7.4000000000000004,0.65968072536337397,0.10000000000000001,0.050000000000000003,0.90000000000000002,0.94999999999999996,1,1
2019,timesat_smoothing_spline,20,False,187,0,0,3.3057642785016519,7.4487896146790646,0.26079782561782255,0.26070866707801499,8.4919786096256686,9,1.1508157214449612,359.33645472282114,0.80365661826416523,0,7.3128342245989302,0.67782616241762883,0.10160427807486631,0.10695187165775401,1,0.95187165775401072,1,0.9866310160427807
2019,timesat_smoothing_spline,20,True,20,0,0,3.2261834022389948,7.1585539703909635,0.25063606392731119,0.25654932127676999,8.0500000000000007,8.5,1.1014902400782134,307.99303389382277,0.81390327996413792,0,7,0.63864380809272692,0.050000000000000003,0.050000000000000003,1,1,1,1
2019,timesat_smoothing_spline,30,False,172,0,0,3.3865785814494402,7.463828394400716,0.2613243649959282,0.26040570967020016,8.6511627906976738,9,1.148330749830597,342.17616293336374,0.7981172821776088,0,7.6424418604651159,0.70539132070750954,0.040697674418604654,0.084302325581395346,1,0.88372093023255816,1,0.95639534883720934
2019,timesat_smoothing_spline,30,True,30,0,0,3.3758631850714944,7.3098621953839338,0.25593368382497828,0.23371208844744279,5.166666666666667,7,1.180401695637413,342.63239894997969,0.82462827668229255,0,5.5666666666666664,0.67807969558547787,0.33333333333333331,0.18333333333333332,1,1,1,1
2019,timesat_smoothing_spline,45,False,142,0,0,3.5659759739330674,7.5777329545858123,0.26531240374596704,0.25979125921623858,9.056338028169014,9,1.1427133770401312,347.54690142025879,0.7882078690790697,0,8.1654929577464781,0.76997058014471043,0,0.017605633802816902,0.94366197183098588,0.79929577464788737,1,0.88732394366197187
2019,timesat_smoothing_spline,45,True,45,0,0,4.2462119430931038,8.8246864449814275,0.30897087388195599,0.27668717897060557,11.355555555555556,8,1.3282817470861883,513.55057941597499,0.65403750468142641,0,6.2111111111111112,0.57163908491588167,0.22222222222222221,0.1111111111111111,0.71111111111111114,0.78888888888888886,0.71111111111111114,0.78888888888888886
2020,linear_interpolation,10,False,232,0,0,1.6275946186422139,3.2576835207474431,0.15474858634489144,0.14374999470680275,36.172413793103445,31,0.19647147529758163,113.31537894719804,0.91528853949341571,0,0.2413793103448276,0.03469658768560642,0,0.97988505747126442,0,0.98706896551724133,0,0.98706896551724133
2020,linear_interpolation,10,True,10,0,0,1.7437339402606731,3.836018529740298,0.18222102941845014,0.1918712075017584,31,31,0.17947924654533451,157.52583079999999,0.88503891795710088,0,0,0,0,0.80000000000000004,0,0.96666666666666656,0,0.96666666666666656
2020,linear_interpolation,20,False,241,0,0,1.7102881177869502,3.4323010234315614,0.16304337972164121,0.14436074641537461,40.95850622406639,31,0.2121945749314037,122.31191733817411,0.90335072500314462,0,0.39834024896265557,0.057258624846904742,0,0.96680497925311204,0,0.98063623789764875,0,0.98755186721991706
2020,linear_interpolation,20,True,20,0,0,1.8172211419298345,4.1573644627121711,0.19748581144481103,0.21103969872075609,31,31,0.17947924654533451,220.43803827499988,0.86447807906729712,0,0,0,0,0.73333333333333317,0,0.81666666666666665,0,0.81666666666666665
