method,deletion_fraction,n_years,n_scenarios_total,n_reconstruction_failures_total,equal_year_mean_fraction_reconstruction_failures,equal_year_mean_mean_mae,equal_year_mean_mean_rmse,equal_year_mean_mean_nrmse,equal_year_mean_median_nrmse,equal_year_mean_mean_absolute_global_peak_timing_error_days,equal_year_mean_median_absolute_global_peak_timing_error_days,equal_year_mean_mean_normalized_absolute_global_peak_magnitude_error,equal_year_mean_mean_absolute_integral_error,equal_year_mean_mean_pearson_correlation,equal_year_mean_fraction_scenarios_with_negative_values,equal_year_mean_mean_matched_event_absolute_timing_error_days,equal_year_mean_mean_matched_event_normalized_absolute_magnitude_error,equal_year_mean_global_peak_success_fraction_5d,equal_year_mean_mean_event_recovery_fraction_5d,equal_year_mean_global_peak_success_fraction_10d,equal_year_mean_mean_event_recovery_fraction_10d,equal_year_mean_global_peak_success_fraction_15d,equal_year_mean_mean_event_recovery_fraction_15d
linear_interpolation,0.10000000000000001,7,700,0,0,2.1064364464264025,4.4503012713864738,0.20889579540073014,0.20558103986071605,36.275714285714287,34.571428571428569,0.81750695624067726,153.93194110749999,0.8539638336194183,0,3.3492857142857142,0.46358746849127819,0.56428571428571428,0.6825,0.69428571428571428,0.89000000000000001,0.70428571428571429,0.95785714285714296
linear_interpolation,0.20000000000000001,7,700,0,0,2.2004490962838394,4.6029262143476233,0.21680432297205526,0.21131844552049625,36.810000000000002,34.571428571428569,0.84655530009682867,160.67879387002651,0.84143166412270032,0,3.9271428571428575,0.50759228036539972,0.53857142857142848,0.61523809523809525,0.65857142857142859,0.81190476190476191,0.68714285714285717,0.90392857142857153
linear_interpolation,0.29999999999999988,7,700,0,0,2.2953853302175204,4.7540643111700032,0.22499199281442842,0.21910288880645371,38.434285714285707,34.571428571428569,0.86865687020784499,168.57206419502103,0.8249348310381629,0,4.0593519882179674,0.55385039413246662,0.51571428571428568,0.57785714285714285,0.63428571428571434,0.77261904761904776,0.68571428571428583,0.86273809523809519
linear_interpolation,0.5,7,700,0,0,2.6151691515905644,5.186731613511566,0.24695242662189684,0.24047885885037079,40.677142857142861,35.785714285714285,0.95695908842422184,213.09577172980562,0.7808364295028255,0,4.8045731597760959,0.67198572379239097,0.46571428571428569,0.44761904761904764,0.57857142857142851,0.6144047619047619,0.64714285714285713,0.71964285714285725
timesat_double_logistic_cv_seapar,0.10000000000000001,7,700,0,0,2.8935558197980673,5.1530928920706218,0.24257464999353875,0.23995812204066672,49.557142857142864,53.142857142857146,1.2077472557126809,152.00422865497598,0.76862498632770693,0,4.9567460317460315,1.0717109956572257,0.67999999999999994,0.43761904761904763,0.73142857142857143,0.50678571428571428,0.73285714285714287,0.54500000000000004
timesat_double_logistic_cv_seapar,0.20000000000000001,7,700,0,0,2.9568384194874673,5.2453933188852782,0.24742663167866152,0.24305904758163394,47.22428571428572,53.285714285714285,1.2072364270202591,176.90874716585776,0.76144525822158715,0,5.2922377788324626,1.0589418960970602,0.62142857142857155,0.38452380952380955,0.7142857142857143,0.49071428571428577,0.72571428571428576,0.53404761904761899
timesat_double_logistic_cv_seapar,0.29999999999999988,7,700,0,0,2.9929724113704701,5.323310239786295,0.2517465984295158,0.24733532040940834,43.904285714285713,52.785714285714285,1.2052118858542642,194.00025872756285,0.75314512732405348,0,5.5031932790537814,1.0486584563580506,0.58857142857142863,0.35761904761904761,0.7142857142857143,0.48273809523809524,0.72571428571428576,0.52380952380952384
timesat_double_logistic_cv_seapar,0.5,7,700,0,0,3.2829019110420541,5.8131824958685696,0.27972383141851298,0.26182744117546536,47.478571428571435,38.5,1.2066824318483367,272.55152638162843,0.71322384473801104,0,5.8278065133509029,1.0309488819392734,0.48571428571428577,0.29511904761904761,0.62857142857142867,0.43535714285714283,0.65714285714285714,0.49023809523809525
timesat_double_logistic_default_seapar1,0.10000000000000001,7,700,0,0,3.0781213602147157,5.3804130280075402,0.25320848840447679,0.25074899932223094,58.850000000000001,54.642857142857146,1.3032048385181387,147.01822509638973,0.73595796911054756,0,6.5297732426303847,1.1669229778491055,0.53285714285714292,0.24690476190476193,0.57714285714285718,0.34916666666666668,0.66000000000000003,0.47857142857142859
timesat_double_logistic_default_seapar1,0.20000000000000001,7,700,0,0,3.1417803946158034,5.4744236547001304,0.2580826228138412,0.25447630580809638,58.427857142857142,70.714285714285708,1.3061217961076035,165.59093652758671,0.72638578238153839,0,6.4639304550070422,1.1496141396925783,0.49857142857142861,0.24214285714285713,0.57857142857142851,0.35892857142857137,0.62142857142857133,0.4667857142857143
