method,duration_days,n_years,n_scenarios_total,n_reconstruction_failures_total,equal_year_mean_fraction_reconstruction_failures,equal_year_mean_mean_mae,equal_year_mean_mean_rmse,equal_year_mean_mean_nrmse,equal_year_mean_median_nrmse,equal_year_mean_mean_absolute_global_peak_timing_error_days,equal_year_mean_median_absolute_global_peak_timing_error_days,equal_year_mean_mean_normalized_absolute_global_peak_magnitude_error,equal_year_mean_mean_absolute_integral_error,equal_year_mean_mean_pearson_correlation,equal_year_mean_fraction_scenarios_with_negative_values,equal_year_mean_mean_matched_event_absolute_timing_error_days,equal_year_mean_mean_matched_event_normalized_absolute_magnitude_error,equal_year_mean_global_peak_success_fraction_5d,equal_year_mean_mean_event_recovery_fraction_5d,equal_year_mean_global_peak_success_fraction_10d,equal_year_mean_mean_event_recovery_fraction_10d,equal_year_mean_global_peak_success_fraction_15d,equal_year_mean_mean_event_recovery_fraction_15d
linear_interpolation,10,7,1379,0,0,2.0959453489379021,4.4337050545637178,0.2075587739883713,0.20290794525752079,35.772506386726853,34.571428571428569,0.80594720251206176,159.52204291034465,0.85748883122000519,0,2.9816406508025941,0.43704637253116146,0.55500251190985295,0.71165719277443062,0.69026087057246699,0.9204843740929235,0.69790028997659215,0.97628508669424907
linear_interpolation,20,7,1525,0,0,2.1704675210903943,4.5560711491175585,0.2136251573295575,0.20283073384391506,37.265628509477743,34.571428571428569,0.81838390389534754,169.82647020098184,0.84772935105699598,0,3.0315157041060301,0.44991130295124215,0.53821075089632886,0.68863649418218564,0.66777885720862129,0.88651388371581719,0.68703175405652661,0.94662030181973733
linear_interpolation,30,7,1475,0,0,2.2685673902851469,4.6950418162941769,0.22074099291942445,0.20407957847616928,38.300031988892592,34.571428571428569,0.83225064472172983,183.65879156272038,0.83585539042958101,0,3.0900421757477448,0.45035792945604641,0.52245343980169634,0.66144439598602756,0.6500623679418972,0.85224696440180447,0.68238614172908563,0.91603237567405837
linear_interpolation,45,7,1367,0,0,2.5247527871550468,5.0325567421070803,0.23778782213568622,0.21519126112296266,41.798451110793444,34.571428571428569,0.86625005971309932,228.35955633888608,0.80116915759132845,0,3.1625674710971965,0.4565924991539671,0.49518983068914668,0.61289910896925881,0.61032392260342427,0.78666656353153674,0.64681421249928717,0.84996526955985896
timesat_double_logistic_cv_seapar,10,7,1379,0,0,2.8852421895990878,5.1402865129296504,0.24174337915422628,0.2388134164919101,51.324990593273505,53,1.202465803442162,149.42404353762271,0.77045613019351122,0,4.7886125268405904,1.0734177047197171,0.68754603519160307,0.44867898233713127,0.7147001934235977,0.51525481480791435,0.71765178728428247,0.55413319770056779
timesat_double_logistic_cv_seapar,20,7,1525,0,0,2.9387798839854073,5.2251551618083729,0.24614774647347781,0.23958039597765765,51.330142371147573,53.142857142857146,1.1979756279108311,168.33059953663388,0.76273372680499185,0,4.9929287037248491,1.0607276259596294,0.65672332192086713,0.42392872333267867,0.70495809765349349,0.49841830326330561,0.71730295566502456,0.53953905983516171
timesat_double_logistic_cv_seapar,30,7,1475,0,0,3.0230352034422188,5.3672623396930792,0.25351094827412679,0.2404217834581128,53.071383445912161,53.285714285714285,1.1924132051059395,196.29244039982862,0.75170106469673192,0,5.3739770223515988,1.0502669780857596,0.62470013231165689,0.39525674392965593,0.68501971203563738,0.47784254608078253,0.70456317615502251,0.53141513271025076
timesat_double_logistic_cv_seapar,45,7,1367,0,0,3.3601151086678556,5.9125796799606629,0.2835689805013793,0.25375458032112613,55.230390753627297,53.285714285714285,1.1996977621100691,282.48559426996678,0.71383079126342452,0,5.7254705744095968,1.0522363412174864,0.53847438245305468,0.33917511298892056,0.59605089400119637,0.42864061900624939,0.64229708082701908,0.50473065381962956
timesat_double_logistic_default_seapar1,10,7,1379,0,0,3.0747657059322955,5.3734748858168171,0.25266600306571957,0.25015238455762839,57.81391576154725,54.357142857142854,1.3019662795888625,141.60808733889863,0.73730113393980656,0,6.5340531257509387,1.1652957070010106,0.53606365510253995,0.23306071257025887,0.57750759878419455,0.34911109372581695,0.67466653269361199,0.48484622891270096
timesat_double_logistic_default_seapar1,20,7,1525,0,0,3.1203368212843587,5.4488680848915285,0.25650434079641959,0.25062543231621259,59.909076484196653,54.642857142857146,1.3011501207572764,157.23774718764767,0.72991791374415793,0,6.5531556948219754,1.1646041139297447,0.51114691671666801,0.23395091995782608,0.57521672526106282,0.34904037325529219,0.66301997810618496,0.48327116203802856
