year,method,duration_days,n_scenarios,n_reconstruction_failures,fraction_reconstruction_failures,mean_mae,mean_rmse,mean_nrmse,median_nrmse,mean_absolute_global_peak_timing_error_days,median_absolute_global_peak_timing_error_days,mean_normalized_absolute_global_peak_magnitude_error,mean_absolute_integral_error,mean_pearson_correlation,fraction_scenarios_with_negative_values,mean_matched_event_absolute_timing_error_days,mean_matched_event_normalized_absolute_magnitude_error,global_peak_success_fraction_5d,mean_event_recovery_fraction_5d,global_peak_success_fraction_10d,mean_event_recovery_fraction_10d,global_peak_success_fraction_15d,mean_event_recovery_fraction_15d
2019,linear_interpolation,10,174,0,0,3.2469185131558373,7.4958106656142718,0.26244413172613323,0.2620996230591307,1.7758620689655173,1,1.1205318672728704,379.65601128160927,0.81540374615461853,0,3.9396551724137931,0.65418057470335589,0.95977011494252873,0.47988505747126436,0.95977011494252873,0.9454022988505747,0.95977011494252873,0.9454022988505747
2019,linear_interpolation,20,207,0,0,3.303491948632125,7.5413231563695291,0.26403761996266922,0.26158478044209532,2.347826086956522,1,1.1312998299719366,376.21283283574883,0.81187147781063806,0,3.8260869565217392,0.67479283330688988,0.92753623188405798,0.46376811594202899,0.92753623188405798,0.893719806763285,0.92753623188405798,0.893719806763285
2019,linear_interpolation,30,202,0,0,3.3980408096712851,7.65009026337201,0.26784578564761319,0.26117885554478332,2.8217821782178216,1,1.1526790154967443,376.54410446534655,0.80531101523430482,0,3.9529702970297032,0.68957757281028909,0.87623762376237624,0.43811881188118812,0.91584158415841588,0.87871287128712872,0.91584158415841588,0.87871287128712872
2019,linear_interpolation,45,187,0,0,3.6779286266354543,7.9988834682766692,0.2800577709680398,0.26146398712699032,5.2085561497326207,1,1.2107269813052113,382.54538784491979,0.76637085824337403,0,4.0324324324324321,0.69899491763863453,0.78609625668449201,0.39304812834224601,0.82887700534759357,0.79411764705882348,0.83957219251336901,0.79946524064171121
2019,timesat_double_logistic_cv_seapar,10,174,0,0,3.6436477869364388,7.3673849437748098,0.25794767649760486,0.2579187759221554,5.0287356321839081,5,1.2039565416216538,462.37124907993211,0.82538946224198351,0,5.0287356321839081,1.2039565416216538,0.86781609195402298,0.43390804597701149,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,20,207,0,0,3.6569298438168549,7.3574119077000173,0.25759849948259184,0.2576781153086028,5.1884057971014492,5,1.2078454027748293,461.46001688845791,0.82396458541008533,0,5.1884057971014492,1.2078454027748293,0.79227053140096615,0.39613526570048307,1,0.5,1,0.5
2019,timesat_double_logistic_cv_seapar,30,202,0,0,3.6908920656812025,7.4046983323888762,0.2592540968853958,0.25700848678914712,5.4455445544554459,5,1.2204762891820553,455.72307964827763,0.81980921953201114,0,5.4455445544554459,1.2204762891820553,0.71782178217821779,0.3589108910891089,0.98514851485148514,0.49257425742574257,1,0.5
2019,timesat_double_logistic_cv_seapar,45,187,0,0,4.0102586738911512,7.8819783972666233,0.27596467800928126,0.25817857475801032,7.6791443850267376,5,1.235607602983011,459.62399863283377,0.76324981507677581,0,5.8402366863905328,1.1965461432971121,0.57754010695187163,0.28877005347593582,0.82352941176470584,0.41176470588235292,0.90374331550802134,0.45187165775401067
2019,timesat_double_logistic_default_seapar1,10,174,0,0,4.2341329226777926,7.8130800176837747,0.27355240051007668,0.27191842490002088,4.6120689655172411,4.5,1.3894349933911105,527.27362743556671,0.79403838969271578,0,4.6120689655172411,1.3894349933911105,0.74712643678160917,0.37356321839080459,1,0.5,1,0.5
2019,timesat_double_logistic_default_seapar1,20,207,0,0,4.2581121984686785,7.9063635809682697,0.2768184546918912,0.27191842490002088,5.0531400966183577,4.5,1.4021148828975289,515.88054773360363,0.78577642416560345,0,5.0531400966183577,1.4021148828975289,0.59903381642512077,0.29951690821256038,0.97584541062801933,0.48792270531400966,1,0.5
